school_C, sex_C, age_C, address_C, famsize_C, Pstatus_C, Medu_C, Fedu_C, Mjob_C, Fjob_C, reason_C, health_C, absences_C, G1_C, G2_C, G3_C
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att school_C = 0 size 42 avg -2.682475004318119
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att school_C = 1 size 17 avg 10.72990001727247
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att sex_C = 0 size 27 avg -2.9331026546260226
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att sex_C = 1 size 32 avg 2.7074793735009517
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att age_C = 0 size 50 avg -1.2711150204135837
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att age_C = 1 size 9 avg 16.887670985494683
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att address_C = 0 size 38 avg -1.4711443618089213
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att address_C = 1 size 21 avg 5.8845774472356895
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att famsize_C = 0 size 22 avg 2.13627320898103
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att famsize_C = 1 size 37 avg -0.674612592309801
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Pstatus_C = 0 size 58 avg -0.9049102720411123
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Pstatus_C = 1 size 1 avg 6.636008661635044
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Medu_C = 0 size 0
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Medu_C = 1 size 59 avg 4.289613586326417
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Medu_C = 2 size 0
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Medu_C = 3 size 0
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Medu_C = 4 size 0
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Fedu_C = 0 size 1 avg 2.1611921043428475
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Fedu_C = 1 size 37 avg 1.3103290711370112
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Fedu_C = 2 size 15 avg 0.45946603793118174
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Fedu_C = 3 size 5 avg -0.39139699527471083
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Fedu_C = 4 size 1 avg -1.2422600284805172
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Mjob_C = 0 size 0
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Mjob_C = 1 size 1 avg 1.4674027712807773
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Mjob_C = 2 size 5 avg 0.4192579346516737
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Mjob_C = 3 size 25 avg -0.628886901977499
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Mjob_C = 4 size 28 avg -1.6770317386066689
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Fjob_C = 0 size 1 avg 4.92165285223765
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Fjob_C = 1 size 1 avg 3.236155300101438
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Fjob_C = 2 size 20 avg 1.550657747965275
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Fjob_C = 3 size 4 avg -0.13483980417091126
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att Fjob_C = 4 size 33 avg -1.8203373563070695
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att reason_C = 0 size 16 avg -0.11788524570544684
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att reason_C = 1 size 10 avg -0.027896508525722806
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att reason_C = 2 size 27 avg 0.06209222865401695
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att reason_C = 3 size 6 avg 0.15208096583380062
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att health_C = 1 size 8 avg -3.6294552330305674
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att health_C = 2 size 2 avg -2.1891952199232034
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att health_C = 3 size 19 avg -0.7489352068158339
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att health_C = 4 size 9 avg 0.6913248062915335
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att health_C = 5 size 21 avg 2.13158481939895
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att absences_C = 0 size 59 avg -0.21522718430826013
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att absences_C = 1 size 0
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att absences_C = 2 size 0
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att G1_C = 0 size 2 avg 41.80408781355304
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att G1_C = 1 size 38 avg 14.658576246310773
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att G1_C = 2 size 16 avg -12.486935320931392
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att G1_C = 3 size 3 avg -39.632446888173554
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att G2_C = 0 size 8 avg 35.766306833304455
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att G2_C = 1 size 32 avg 12.839187068365709
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att G2_C = 2 size 18 avg -10.087932696573048
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att G2_C = 3 size 1 avg -33.015052461511786
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att G3_C = 0 size 11 avg 141.87206779059827
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att G3_C = 1 size 27 avg 51.50769340168219
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att G3_C = 2 size 19 avg -38.85668098723395
group [-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att G3_C = 3 size 2 avg -129.22105537615002
group [-1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, -1, -1, -1] att school_C = 0 size 49 avg -2.682475004318118
group [-1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, -1, -1, -1] att school_C = 1 size 10 avg 10.729900017272461
group [-1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, -1, -1, -1] att sex_C = 0 size 17 avg -2.9331026546260124
group [-1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, -1, -1, -1] att sex_C = 1 size 42 avg 2.707479373500937
group [-1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, -1, -1, -1] att age_C = 0 size 55 avg -1.271115020413583
group [-1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, -1, -1, -1] att age_C = 1 size 4 avg 16.887670985494722
group [-1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, -1, -1, -1] att address_C = 0 size 37 avg -1.4711443618089193
group [-1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, -1, -1, -1] att address_C = 1 size 22 avg 5.884577447235716
group [-1, -1, -1, -1, -1, -1, -1, -1, 3, -1, -1, -1, -1, -1, -1, -1] att famsize_C = 0 size 15 avg 2.136273208981036
