,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
35868,0,2,15,10,4,7,3,4,0,0,0,0,38,0
12707,0,2,7,12,2,7,0,4,1,0,0,1,38,0
7299,1,4,9,13,2,3,0,4,1,0,0,2,38,0
13467,0,2,11,9,2,6,0,4,1,0,0,2,38,0
5389,0,2,11,9,2,7,5,4,0,0,0,2,38,0
23030,0,2,11,9,0,6,1,4,1,0,0,2,38,0
743,0,2,11,9,2,13,0,4,1,0,0,2,38,0
44990,0,2,0,6,2,2,0,4,1,0,0,2,38,0
26447,2,2,14,15,6,9,4,4,0,0,0,0,38,0
38386,1,2,15,10,4,7,1,4,1,0,0,2,38,0
27183,2,2,1,7,2,13,0,4,1,0,0,2,38,0
37862,2,6,7,12,2,4,0,4,1,0,0,2,38,0
846,0,2,9,13,2,12,0,4,1,0,0,2,38,1
25208,0,2,7,12,2,0,5,4,0,0,0,1,38,1
7683,1,2,9,13,0,11,1,4,0,4,0,2,38,1
2498,0,2,15,10,4,11,1,2,0,0,0,1,38,0
26191,0,2,11,9,2,2,0,4,1,0,0,1,38,0
7324,1,2,11,9,0,11,1,4,0,0,0,2,38,0
7882,0,2,11,9,4,13,3,4,1,0,0,1,38,0
44419,0,0,15,10,2,9,0,4,1,0,0,2,38,1
22862,0,2,11,9,5,12,3,4,0,0,0,2,38,0
41624,0,2,11,9,4,5,3,4,1,0,0,2,38,0
43934,0,4,11,9,2,13,0,4,1,0,0,1,38,0
39641,0,4,8,11,0,7,4,4,0,0,0,2,38,0
24517,0,2,11,9,4,3,1,4,1,0,0,2,38,0
11980,0,2,11,9,0,4,1,4,1,0,0,2,38,0
12284,1,2,7,12,4,3,1,4,1,0,0,2,38,0
20507,0,2,9,13,4,0,1,2,0,0,0,2,38,0
41378,0,2,15,10,4,5,1,0,1,0,0,2,38,0
19767,1,2,0,6,0,2,1,4,1,0,0,2,38,0
2765,1,2,5,4,2,7,0,2,1,0,0,2,38,0
18860,0,2,2,8,0,6,1,4,1,0,0,2,38,0
38185,0,2,6,5,4,4,2,4,1,0,0,0,25,0
