,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
43704,2,2,9,13,2,0,5,4,0,1,0,0,38,0,[1]
8420,1,2,15,10,4,3,1,4,0,0,1,0,38,0,[1]
33916,1,1,5,4,0,5,1,4,1,0,0,0,38,0,[1]
38565,1,2,5,4,2,6,0,3,1,0,0,0,26,0,[1]
32565,1,2,11,9,2,13,0,1,1,0,0,1,38,0,[1]
28213,0,2,11,9,0,11,4,4,1,1,0,0,38,0,[1]
9586,1,3,9,13,4,11,1,4,1,0,0,1,38,0,[1]
31695,2,3,11,9,2,3,0,4,1,0,0,0,38,0,[1]
4800,0,2,11,9,4,9,1,4,0,1,0,0,38,0,[1]
34306,1,2,11,9,2,11,0,4,1,0,1,1,38,0,[1]
42908,0,2,9,13,2,11,0,4,1,0,0,0,38,0,[1]
40650,2,4,14,15,2,9,0,4,1,0,0,0,38,0,[1]
34115,1,4,9,13,2,9,0,4,1,0,0,0,38,0,[1]
16075,1,3,6,5,2,3,0,4,1,0,1,0,25,0,[1]
6257,2,2,15,10,4,3,1,4,1,0,0,0,38,0,[1]
10155,2,2,11,9,2,3,0,4,1,0,0,0,38,0,[1]
38990,1,4,9,13,2,4,0,4,1,0,0,0,38,0,[1]
25429,2,2,12,14,2,9,0,4,1,1,0,0,38,0,[1]
45209,2,4,14,15,4,9,1,4,1,1,0,1,38,0,[1]
34034,1,0,9,13,2,9,0,4,1,0,0,0,38,0,[1]
15467,1,1,15,10,2,0,5,4,0,0,0,0,38,0,[1]
32542,2,2,15,10,2,3,0,4,1,0,1,0,38,0,[1]
39777,1,2,9,13,2,11,0,4,1,0,0,1,38,0,[1]
15233,1,4,9,13,0,3,1,4,0,0,0,0,38,0,[1]
42686,1,3,9,13,5,9,1,4,0,0,0,1,38,0,[1]
8287,0,2,9,13,2,3,5,4,0,0,0,0,38,0,[1]
41750,1,2,10,16,4,9,1,4,1,0,0,0,38,0,[1]
26891,0,5,10,16,4,9,1,4,0,0,0,1,8,0,[1]
12161,1,1,9,13,5,9,4,4,0,1,0,0,38,0,[1]
27615,1,2,9,13,2,2,0,4,1,0,0,0,38,0,[1]
16684,2,2,11,9,2,10,0,4,1,1,0,0,38,0,[1]
3423,1,2,9,13,2,0,5,1,0,0,0,0,29,0,[1]
4159,1,1,15,10,2,0,5,4,0,0,0,0,38,0,[1]
