,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
8535,1,2,11,9,2,2,0,4,1,0,0,1,38,1,[0]
37746,1,2,11,9,2,11,0,4,1,0,0,0,38,1,[0]
37260,0,0,15,10,4,7,1,4,0,0,0,0,38,1,[0]
31990,1,2,0,6,2,3,0,4,1,0,0,0,38,1,[0]
26637,1,2,15,10,4,2,1,2,1,1,0,0,38,1,[0]
9636,1,4,9,13,2,9,0,4,1,0,0,1,38,1,[0]
9461,1,1,8,11,2,10,0,4,1,0,0,1,38,1,[0]
5666,1,2,9,13,0,3,1,4,1,0,0,1,38,1,[0]
26037,1,2,8,11,2,2,0,4,1,0,0,0,38,1,[0]
26572,1,4,15,10,2,4,0,4,1,1,0,1,38,1,[0]
22695,1,2,11,9,2,11,0,4,1,0,0,1,38,1,[0]
32989,2,2,9,13,2,5,0,4,1,0,0,0,21,1,[0]
38996,1,2,10,16,2,9,0,4,1,0,1,1,38,1,[0]
35177,1,2,7,12,2,2,0,4,1,0,0,1,38,1,[0]
16375,1,2,8,11,0,11,1,4,1,0,0,1,38,1,[0]
17183,0,2,9,13,2,7,5,4,0,0,0,0,38,1,[0]
16615,2,5,11,9,2,3,5,4,0,1,0,0,38,1,[0]
42461,1,2,9,13,2,13,0,4,1,0,0,0,38,1,[0]
4211,2,5,9,13,2,9,0,2,1,0,0,0,38,1,[0]
15189,1,2,15,10,2,2,0,1,1,0,0,0,38,1,[0]
39269,1,2,15,10,2,13,0,4,1,0,0,1,38,1,[0]
10876,1,0,11,9,2,3,0,4,1,0,0,0,38,1,[0]
9151,1,2,11,9,2,13,0,4,1,0,0,1,38,1,[0]
25971,1,2,15,10,2,2,0,4,1,0,0,0,38,1,[0]
44333,0,2,9,13,2,9,5,4,0,0,0,1,38,1,[0]
10977,2,4,11,9,2,13,0,2,1,0,0,0,13,1,[0]
35168,2,2,11,9,2,2,0,4,1,0,0,1,38,1,[0]
2649,0,2,11,9,2,2,0,4,1,0,0,0,38,1,[0]
7959,1,3,9,13,0,12,1,4,0,0,1,1,38,1,[0]
20821,1,2,11,9,2,2,0,4,1,0,0,0,38,1,[0]
