,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
38980,2,2,15,10,3,3,4,4,0,0,0,0,38,0,[0]
29384,2,2,6,5,0,0,1,4,1,0,0,0,38,0,[0]
9956,1,2,6,5,2,5,0,4,1,0,0,1,38,0,[0]
14658,0,2,11,9,4,5,1,2,1,0,0,0,38,0,[0]
5142,1,2,7,12,5,3,4,4,0,0,0,0,38,0,[0]
2904,0,2,3,2,4,4,3,4,0,0,0,0,25,0,[0]
15522,2,1,11,9,2,13,0,4,1,0,0,0,38,0,[0]
27566,0,4,8,11,2,4,0,4,1,0,0,1,38,0,[0]
41195,0,2,15,10,2,6,0,4,1,0,0,0,38,0,[0]
585,1,2,9,13,0,9,1,2,1,0,0,0,38,0,[0]
8004,1,2,9,13,4,0,1,2,1,0,0,0,38,0,[0]
14923,1,2,11,9,2,11,0,4,1,0,0,1,38,0,[0]
31716,1,2,11,9,0,11,1,4,1,0,1,0,38,0,[0]
14134,0,2,9,13,4,9,1,4,0,0,0,0,38,0,[0]
42933,0,0,15,10,4,0,3,2,0,0,0,0,38,0,[0]
24977,1,0,7,12,0,0,1,4,0,0,0,0,38,0,[0]
39295,0,2,15,10,4,7,3,4,0,0,0,0,38,0,[0]
38334,0,1,11,9,4,9,3,2,0,0,0,0,38,0,[0]
20284,2,2,9,13,4,0,4,4,1,0,0,0,38,0,[0]
8581,0,2,11,9,4,0,3,4,0,0,0,0,25,0,[0]
31117,1,2,11,9,2,11,0,4,1,0,0,1,38,0,[0]
23121,0,2,8,11,0,0,1,4,0,0,0,0,38,0,[0]
21643,1,2,11,9,2,12,0,4,1,0,0,1,38,0,[0]
43754,2,1,11,9,6,7,4,2,0,0,0,0,38,0,[0]
27527,0,2,7,12,4,7,2,1,1,0,0,0,39,0,[0]
12757,2,2,5,4,5,6,1,4,1,0,0,0,38,0,[0]
5395,1,2,0,6,2,2,0,4,1,0,0,0,38,0,[0]
27068,1,2,11,9,2,13,0,4,1,0,0,0,38,0,[0]
1124,1,2,11,9,0,0,1,4,0,0,0,1,38,0,[0]
1607,1,2,15,10,2,11,0,4,1,0,0,0,38,0,[0]
28294,0,2,9,13,4,9,3,1,0,0,0,0,38,0,[0]
32889,1,2,15,10,4,9,3,4,0,0,0,0,38,0,[0]
14706,0,2,2,8,4,7,3,4,1,0,0,0,38,0,[0]
5199,0,2,15,10,4,11,4,4,0,0,0,0,7,0,[0]
10730,2,1,6,5,2,13,0,4,1,0,0,0,38,0,[0]
10545,0,2,1,7,4,12,3,4,1,0,0,0,38,0,[0]
