,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
37645,1,2,7,12,2,9,0,4,1,0,0,0,38,1,[1]
7314,0,2,9,13,2,9,0,4,1,0,1,1,38,1,[1]
419,1,2,9,13,2,9,0,4,1,0,0,1,38,1,[1]
41804,2,2,12,14,2,3,0,4,1,0,0,1,38,1,[1]
39327,1,2,12,14,2,9,0,4,1,0,0,0,38,1,[1]
7209,1,0,15,10,2,0,0,4,1,0,0,0,38,1,[1]
7565,1,2,9,13,2,3,0,4,1,0,0,0,38,1,[1]
41103,1,3,9,13,4,9,1,4,0,0,0,1,38,1,[1]
36040,1,2,12,14,2,9,0,4,1,0,0,1,38,1,[1]
934,1,1,15,10,2,9,0,4,1,0,1,0,38,1,[1]
9164,2,1,12,14,2,3,0,4,1,0,0,1,38,1,[1]
41132,1,2,9,13,2,3,0,4,1,0,0,0,38,1,[1]
38869,1,2,15,10,2,9,0,4,1,1,0,0,38,1,[1]
378,1,2,11,9,2,0,5,4,0,0,0,0,38,1,[1]
34636,2,2,15,10,2,9,0,2,1,0,0,1,13,1,[1]
21599,1,2,9,13,2,12,5,4,0,0,0,0,38,1,[1]
37935,0,4,14,15,0,9,1,4,1,1,0,1,38,1,[1]
1292,1,2,14,15,4,9,1,4,0,1,0,0,38,1,[1]
3896,1,2,12,14,2,3,0,4,1,0,0,0,38,1,[1]
30850,2,3,15,10,2,11,0,4,1,0,1,0,38,1,[1]
14905,1,2,12,14,2,9,0,4,1,0,0,1,38,1,[1]
9817,1,0,11,9,2,13,0,2,1,0,0,1,22,1,[1]
38452,1,2,10,16,2,9,0,4,1,0,0,1,38,1,[1]
23195,1,2,10,16,4,9,1,4,1,0,0,0,35,1,[1]
14853,1,3,9,13,2,12,0,4,1,1,0,1,38,1,[1]
24157,1,3,9,13,2,11,0,4,1,0,0,1,38,1,[1]
5055,2,2,12,14,2,3,0,4,1,0,0,0,38,1,[1]
793,1,1,12,14,2,9,0,4,1,0,0,0,38,1,[1]
17668,1,2,14,15,4,9,1,4,1,1,0,0,38,1,[1]
22008,1,2,9,13,2,9,0,4,1,0,0,0,38,1,[1]
21201,1,2,9,13,2,3,5,4,0,0,1,0,38,1,[1]
7556,1,3,9,13,2,11,0,4,1,1,0,0,38,1,[1]
38253,1,2,9,13,2,9,0,4,1,0,0,1,38,1,[1]
16175,2,2,10,16,2,9,0,4,1,1,0,0,38,1,[1]
37309,1,4,14,15,2,9,0,4,1,1,0,1,38,1,[1]
15782,1,2,9,13,4,11,1,3,0,0,0,1,38,1,[1]
13619,2,3,8,11,2,3,0,4,1,0,0,0,38,1,[1]
14942,1,2,15,10,2,3,0,4,1,0,1,1,38,1,[1]
4442,1,2,9,13,2,0,0,4,1,0,0,0,38,1,[1]
9255,1,2,9,13,2,9,0,4,1,0,0,0,21,1,[1]
29982,1,2,9,13,2,9,0,4,1,0,0,1,38,1,[1]
