,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
38980,2,2,15,10,3,3,4,4,0,0,0,0,38,0,[0]
29384,2,2,6,5,0,0,1,4,1,0,0,0,38,0,[0]
9956,1,2,6,5,2,5,0,4,1,0,0,1,38,0,[0]
14658,0,2,11,9,4,5,1,2,1,0,0,0,38,0,[0]
37645,1,2,7,12,2,9,0,4,1,0,0,0,38,1,[1]
5142,1,2,7,12,5,3,4,4,0,0,0,0,38,0,[0]
2904,0,2,3,2,4,4,3,4,0,0,0,0,25,0,[0]
43704,2,2,9,13,2,0,5,4,0,1,0,0,38,0,[1]
8420,1,2,15,10,4,3,1,4,0,0,1,0,38,0,[1]
15522,2,1,11,9,2,13,0,4,1,0,0,0,38,0,[0]
33916,1,1,5,4,0,5,1,4,1,0,0,0,38,0,[1]
27566,0,4,8,11,2,4,0,4,1,0,0,1,38,0,[0]
41195,0,2,15,10,2,6,0,4,1,0,0,0,38,0,[0]
585,1,2,9,13,0,9,1,2,1,0,0,0,38,0,[0]
8004,1,2,9,13,4,0,1,2,1,0,0,0,38,0,[0]
14923,1,2,11,9,2,11,0,4,1,0,0,1,38,0,[0]
7314,0,2,9,13,2,9,0,4,1,0,1,1,38,1,[1]
419,1,2,9,13,2,9,0,4,1,0,0,1,38,1,[1]
31716,1,2,11,9,0,11,1,4,1,0,1,0,38,0,[0]
38565,1,2,5,4,2,6,0,3,1,0,0,0,26,0,[1]
41804,2,2,12,14,2,3,0,4,1,0,0,1,38,1,[1]
32565,1,2,11,9,2,13,0,1,1,0,0,1,38,0,[1]
28213,0,2,11,9,0,11,4,4,1,1,0,0,38,0,[1]
14134,0,2,9,13,4,9,1,4,0,0,0,0,38,0,[0]
8535,1,2,11,9,2,2,0,4,1,0,0,1,38,1,[0]
39327,1,2,12,14,2,9,0,4,1,0,0,0,38,1,[1]
42933,0,0,15,10,4,0,3,2,0,0,0,0,38,0,[0]
24977,1,0,7,12,0,0,1,4,0,0,0,0,38,0,[0]
9586,1,3,9,13,4,11,1,4,1,0,0,1,38,0,[1]
31695,2,3,11,9,2,3,0,4,1,0,0,0,38,0,[1]
39295,0,2,15,10,4,7,3,4,0,0,0,0,38,0,[0]
38334,0,1,11,9,4,9,3,2,0,0,0,0,38,0,[0]
37746,1,2,11,9,2,11,0,4,1,0,0,0,38,1,[0]
20284,2,2,9,13,4,0,4,4,1,0,0,0,38,0,[0]
8581,0,2,11,9,4,0,3,4,0,0,0,0,25,0,[0]
31117,1,2,11,9,2,11,0,4,1,0,0,1,38,0,[0]
