,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
14317,2,2,0,6,6,13,1,4,0,1,0,0,38,0,[1]
81932,2,5,3,9,1,11,5,3,0,1,1,0,25,0,[1]
72897,2,2,6,1,2,3,5,3,0,1,1,1,31,0,[1]
45417,0,3,6,1,4,9,0,4,1,1,1,0,14,0,[1]
91216,0,6,14,2,6,4,1,0,0,1,1,1,35,0,[1]
16405,1,2,15,10,2,2,0,4,1,0,1,0,38,0,[1]
72719,2,4,9,12,4,9,4,1,0,1,1,0,15,0,[1]
94640,2,1,10,11,5,6,2,4,1,1,1,0,7,0,[1]
12878,0,2,9,13,2,13,0,4,1,0,0,0,6,0,[1]
42548,2,2,15,10,2,3,0,4,1,0,0,0,38,0,[1]
95986,2,4,4,10,0,10,3,0,0,1,1,1,33,0,[1]
63319,1,3,10,2,6,10,1,3,1,1,1,0,8,0,[1]
55843,0,1,9,16,5,0,5,3,0,1,1,0,17,0,[1]
20600,1,2,9,13,2,0,0,4,1,0,0,0,38,0,[1]
55020,0,4,2,10,2,12,5,0,1,1,1,0,17,0,[1]
46933,2,1,8,10,5,6,2,2,0,1,1,0,31,0,[1]
17634,1,5,12,14,5,9,1,4,1,0,0,0,38,0,[1]
52672,2,4,9,12,4,5,4,2,1,1,1,1,8,0,[1]
62265,1,2,6,4,1,12,2,2,1,1,1,0,14,0,[1]
80326,2,4,15,1,6,2,1,1,1,1,1,0,18,0,[1]
65997,0,4,14,6,3,6,0,3,1,1,1,0,34,0,[1]
87319,2,5,14,9,1,5,3,3,0,1,1,1,22,0,[1]
94691,1,3,13,14,1,11,2,0,1,1,1,1,14,0,[1]
30754,1,2,15,10,2,13,0,4,1,1,0,0,38,0,[1]
96658,1,6,8,12,0,8,1,1,1,1,1,0,27,0,[1]
96847,0,3,12,6,6,12,3,2,1,1,1,1,18,0,[1]
29058,1,2,15,10,2,9,0,4,1,0,0,0,38,0,[1]
91566,1,3,0,12,0,2,0,1,1,1,1,1,9,0,[1]
44173,1,2,14,15,2,0,0,1,1,0,0,0,29,0,[1]
92662,2,1,6,14,3,12,2,0,0,1,1,1,20,0,[1]
42458,1,2,15,10,2,11,0,4,1,0,0,1,38,0,[1]
98347,1,0,5,10,0,10,4,1,0,1,1,0,0,0,[1]
42896,1,2,7,12,2,9,0,4,1,0,0,0,38,0,[1]
26155,0,2,15,10,4,9,3,4,0,1,0,0,38,0,[1]
86082,2,6,0,9,0,4,1,4,0,1,1,0,5,0,[1]
91974,0,2,6,11,1,2,0,3,0,1,1,1,35,0,[1]
92453,2,5,5,16,2,7,2,0,1,1,1,0,3,0,[1]
27743,1,2,9,13,4,3,4,4,0,0,0,1,38,0,[1]
58258,2,5,7,6,4,11,2,2,1,1,1,0,2,0,[1]
94019,0,5,4,16,1,1,5,3,1,1,1,1,2,0,[1]
35175,1,1,15,10,2,10,0,4,1,0,0,1,38,0,[1]
99466,0,4,11,3,0,1,4,1,1,1,1,1,0,0,[1]
68669,0,4,5,16,2,2,3,2,0,1,1,1,15,0,[1]
62240,0,6,0,8,2,12,2,3,1,1,1,0,9,0,[1]
46981,2,5,2,8,2,5,3,1,0,1,1,0,22,0,[1]
18626,2,4,0,6,2,6,0,4,1,0,0,0,38,0,[1]
48125,2,1,4,10,3,13,1,2,0,1,1,1,5,0,[1]
83597,1,4,11,5,0,8,1,2,1,1,1,0,4,0,[1]
87102,2,6,0,9,6,0,4,0,1,1,1,0,17,0,[1]
96217,2,0,1,16,5,9,2,3,1,1,1,0,4,0,[1]
33090,0,5,15,10,2,3,0,4,1,0,0,0,38,0,[1]
80049,0,2,3,3,2,9,3,2,0,1,1,1,32,0,[1]
83286,2,3,3,9,3,10,2,2,0,1,1,0,34,0,[1]
22865,1,4,14,15,2,9,0,4,1,0,0,0,38,0,[1]
65178,1,3,7,4,1,12,1,3,0,1,1,1,17,0,[1]
74812,1,1,6,8,3,1,1,4,0,1,1,0,14,0,[1]
7341,2,2,15,10,6,11,1,4,1,1,0,0,38,0,[1]
74926,2,4,12,15,3,1,3,4,0,1,1,0,19,0,[1]
69422,2,1,3,7,0,10,5,2,0,1,1,0,24,0,[1]
84247,1,0,0,16,6,3,3,3,0,1,1,0,15,0,[1]
49006,2,6,15,11,0,0,4,1,1,1,1,0,0,0,[1]
46801,2,2,12,12,4,0,2,1,0,1,1,0,12,0,[1]
78691,2,3,5,12,6,7,1,2,1,1,1,0,3,0,[1]
2075,2,3,14,15,2,9,0,4,1,0,0,1,38,0,[1]
44306,1,2,9,13,6,9,4,4,0,0,0,0,38,0,[1]
60830,1,3,8,4,6,8,5,4,1,1,1,0,1,0,[1]
86327,1,0,7,14,4,9,5,2,0,1,1,0,34,0,[1]
93882,0,2,4,8,1,1,3,4,0,1,1,0,25,0,[1]
98492,2,5,3,16,2,8,5,1,0,1,1,0,14,0,[1]
73187,1,0,7,3,0,11,4,0,0,1,1,1,30,0,[1]
63255,1,0,11,15,4,6,1,1,1,1,1,0,31,0,[1]
24292,1,2,9,13,2,11,0,4,1,0,0,1,38,0,[1]
99818,2,6,14,9,1,13,2,0,0,1,1,0,0,0,[1]
81503,1,2,1,14,2,13,1,2,0,1,1,1,17,0,[1]
96909,1,2,12,7,4,13,2,2,1,1,1,0,30,0,[1]
85689,2,5,12,7,1,9,2,0,0,1,1,0,39,0,[1]
89382,2,4,13,1,4,6,3,3,1,1,1,1,15,0,[1]
95346,0,5,1,6,5,9,5,4,0,1,1,0,31,0,[1]
66596,2,0,13,13,6,12,4,3,1,1,1,1,4,0,[1]
77769,0,5,3,5,1,10,3,2,0,1,1,0,24,0,[1]
17248,1,2,15,10,0,3,1,4,1,0,1,0,38,0,[1]
99145,1,0,3,11,2,0,5,4,1,1,1,0,17,0,[1]
86057,2,3,11,15,1,9,2,3,0,1,1,0,10,0,[1]
73984,1,4,12,7,0,10,0,0,1,1,1,1,21,0,[1]
47839,2,4,9,16,1,6,0,1,1,1,1,0,0,0,[1]
87070,2,6,15,1,6,6,4,0,1,1,1,1,15,0,[1]
8754,0,2,7,12,0,3,1,4,0,0,0,0,38,0,[1]
31181,2,2,11,9,2,12,0,4,1,0,0,0,38,0,[1]
8133,1,2,15,10,2,0,0,2,1,1,0,0,38,0,[1]
57977,1,4,13,2,0,12,1,3,1,1,1,0,10,0,[1]
71567,2,4,14,9,6,13,5,1,1,1,1,1,2,0,[1]
4171,1,2,11,9,2,11,0,4,1,0,0,1,38,0,[1]
87401,0,6,15,1,1,9,4,2,0,1,1,1,40,0,[1]
73565,2,2,10,12,3,7,1,3,0,1,1,0,33,0,[1]
61687,2,5,5,9,2,4,4,2,0,1,1,0,28,0,[1]
74310,2,0,3,5,6,4,4,1,0,1,1,0,28,0,[1]
59988,1,6,7,10,2,8,1,3,0,1,1,0,11,0,[1]
77570,2,1,5,6,0,12,2,1,0,1,1,1,36,0,[1]
14624,1,2,11,9,2,3,0,4,1,0,0,1,25,0,[1]
72946,2,3,1,3,3,6,0,4,1,1,1,1,11,0,[1]
74743,2,2,11,7,4,6,0,3,1,1,1,1,32,0,[1]
93460,1,0,15,8,1,5,4,0,1,1,1,0,1,0,[1]
79706,1,4,4,10,5,9,2,2,1,1,1,1,19,0,[1]
56643,1,3,4,12,2,8,1,1,1,1,1,1,32,0,[1]
99015,2,5,9,13,6,0,2,3,0,1,1,0,30,0,[1]
66940,2,0,13,9,0,4,2,3,1,1,1,1,25,0,[1]
84157,1,1,7,7,0,1,3,1,0,1,1,0,33,0,[1]
67101,0,1,11,13,4,11,3,1,1,1,1,1,20,0,[1]
63704,2,0,10,12,6,1,2,3,1,1,1,0,11,0,[1]
48286,1,4,9,11,5,4,0,1,1,1,1,1,29,0,[1]
56753,2,5,14,14,1,13,3,1,0,1,1,1,10,0,[1]
64955,1,5,13,13,2,4,2,0,1,1,1,1,1,0,[1]
25683,1,2,15,10,0,2,4,4,0,0,0,0,4,0,[1]
14813,2,3,12,14,0,9,4,4,1,0,0,1,38,0,[1]
50955,1,4,5,16,5,5,4,4,1,1,1,1,9,0,[1]
28074,1,5,1,7,0,13,4,4,0,0,0,1,38,0,[1]
69739,2,5,4,2,5,1,4,0,1,1,1,1,20,0,[1]
4608,2,2,0,6,2,2,0,4,1,0,1,0,38,0,[1]
77576,0,5,5,6,4,4,0,3,0,1,1,0,4,0,[1]
78725,0,2,14,4,4,0,2,2,0,1,1,0,2,0,[1]
64506,0,5,1,1,2,7,3,2,0,1,1,1,10,0,[1]
57145,2,2,8,2,3,6,4,4,1,1,1,0,11,0,[1]
59195,2,6,7,2,5,10,1,3,0,1,1,1,31,0,[1]
96088,1,4,14,12,6,5,5,3,1,1,1,0,9,0,[1]
51929,2,2,7,13,2,5,0,4,1,1,1,0,24,0,[1]
86042,2,1,2,15,3,12,1,3,1,1,1,0,0,0,[1]
55367,1,5,13,4,2,2,5,4,0,1,1,0,39,0,[1]
37577,1,2,9,13,2,9,0,4,1,0,0,1,38,0,[1]
77299,2,2,7,10,0,3,2,2,1,1,1,0,31,0,[1]
34640,1,2,9,13,4,12,4,1,0,0,0,0,18,0,[1]
70855,1,3,0,4,6,5,0,3,0,1,1,1,7,0,[1]
85468,2,5,2,9,3,6,1,3,1,1,1,0,27,0,[1]
62685,2,3,12,10,3,5,1,3,0,1,1,0,35,0,[1]
80426,0,4,5,4,1,0,1,1,1,1,1,0,16,0,[1]
89064,1,4,2,14,1,11,3,3,0,1,1,0,11,0,[1]
48066,0,0,13,2,1,5,0,3,1,1,1,0,31,0,[1]
46900,2,4,14,1,5,1,0,0,1,1,1,1,16,0,[1]
73068,2,4,2,6,6,7,0,3,0,1,1,1,7,0,[1]
81935,2,4,7,15,0,9,2,4,0,1,1,0,6,0,[1]
56573,1,3,11,12,6,10,1,0,0,1,1,0,19,0,[1]
24239,0,4,15,10,2,2,0,4,1,0,0,0,38,0,[1]
75712,2,0,4,6,1,3,1,3,1,1,1,0,11,0,[1]
58700,1,0,1,9,0,7,1,4,0,1,1,0,16,0,[1]
28527,1,0,15,10,2,0,0,4,1,0,0,0,38,0,[1]
20047,1,2,4,3,2,2,5,4,0,0,0,0,21,0,[1]
64421,1,3,11,1,0,13,2,3,0,1,1,0,30,0,[1]
57969,2,1,6,6,0,13,0,4,1,1,1,1,37,0,[1]
62223,2,4,1,11,0,10,5,4,0,1,1,1,15,0,[1]
20831,1,2,11,9,2,2,0,4,1,0,0,0,25,0,[1]
70689,0,2,13,5,3,0,0,1,1,1,1,1,6,0,[1]
59137,2,4,4,4,4,0,5,4,0,1,1,0,28,0,[1]
66016,1,1,0,9,1,11,1,1,1,1,1,0,19,0,[1]
97524,0,0,2,4,4,12,3,0,1,1,1,1,22,0,[1]
45017,2,4,12,14,6,11,1,4,1,0,0,0,38,0,[1]
27008,1,4,12,14,2,2,0,4,1,0,0,1,38,0,[1]
75124,2,1,10,16,3,7,5,4,0,1,1,0,13,0,[1]
90834,2,2,3,4,0,1,1,3,0,1,1,1,28,0,[1]
92942,0,0,7,13,0,3,0,3,0,1,1,0,3,0,[1]
15973,1,2,8,11,2,6,0,4,1,0,0,0,38,0,[1]
56317,2,2,7,9,4,6,2,0,1,1,1,0,12,0,[1]
46248,2,2,3,6,4,13,1,2,0,1,1,1,16,0,[1]
21674,0,2,9,13,2,9,0,4,1,0,0,0,38,0,[1]
21030,2,1,12,14,2,9,0,4,1,0,0,1,38,0,[1]
12598,2,1,11,9,2,7,0,4,1,0,1,0,1,0,[1]
27998,1,1,9,13,2,9,3,4,1,0,0,0,38,0,[1]
50644,2,1,8,4,5,9,1,3,1,1,1,1,23,0,[1]
71676,2,0,2,15,6,3,4,3,1,1,1,1,38,0,[1]
66577,0,4,9,15,0,8,1,2,1,1,1,0,18,0,[1]
74875,0,2,1,1,6,5,0,1,0,1,1,0,8,0,[1]
96886,2,3,5,3,2,3,3,4,1,1,1,0,12,0,[1]
62112,2,5,1,6,4,7,0,4,0,1,1,0,39,0,[1]
85850,0,6,5,14,4,7,0,0,0,1,1,1,26,0,[1]
62005,1,6,1,11,0,10,4,1,1,1,1,1,18,0,[1]
59372,1,0,1,2,4,4,1,2,0,1,1,1,28,0,[1]
87179,0,6,9,3,5,4,4,3,1,1,1,0,40,0,[1]
