,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
34244,2,2,7,12,2,0,0,4,1,0,0,0,38,1,[0]
57222,1,6,14,2,4,7,3,4,1,1,1,0,33,1,[0]
25744,1,2,9,13,2,2,0,4,1,0,0,0,38,1,[0]
33721,2,2,0,6,2,11,5,1,0,0,0,0,23,1,[0]
1419,1,2,15,10,2,11,0,4,1,0,0,0,38,1,[0]
57847,1,2,9,14,4,2,0,2,0,1,1,0,18,1,[0]
32200,1,2,11,9,2,2,0,4,1,0,0,0,38,1,[0]
2620,1,2,15,10,2,2,0,4,1,0,0,0,30,1,[0]
16046,1,2,11,9,2,2,0,4,1,0,1,0,38,1,[0]
43061,2,1,12,14,6,9,4,4,0,1,0,1,38,1,[0]
15256,1,2,11,9,2,2,0,4,1,0,0,0,38,1,[0]
51257,2,6,8,7,0,4,1,1,1,1,1,1,16,1,[0]
29793,1,1,0,6,2,5,0,4,1,1,0,0,38,1,[0]
63131,2,6,12,3,2,1,5,4,0,1,1,1,36,1,[0]
13214,0,5,15,10,2,3,0,4,1,1,0,0,38,1,[0]
45905,1,0,4,12,5,10,2,1,1,1,1,0,5,1,[0]
6770,2,2,8,11,2,9,0,4,1,0,0,0,38,1,[0]
62762,0,0,12,9,3,4,0,4,0,1,1,0,0,1,[0]
12538,2,0,9,13,3,3,1,2,1,0,0,0,38,1,[0]
12508,2,1,15,10,2,0,5,2,0,0,0,1,38,1,[0]
29575,1,2,9,13,2,2,0,4,1,0,0,0,38,1,[0]
57057,2,0,12,12,0,7,2,4,1,1,1,0,37,1,[0]
62766,1,4,0,16,6,6,2,3,1,1,1,1,38,1,[0]
63475,2,4,7,16,5,6,3,2,1,1,1,0,28,1,[0]
62341,2,4,0,6,2,10,5,4,1,1,1,1,18,1,[0]
49235,2,6,0,10,0,10,3,2,1,1,1,1,30,1,[0]
43075,2,2,15,10,0,11,2,4,0,0,0,0,38,1,[0]
51045,2,1,15,6,6,13,1,4,1,1,1,1,29,1,[0]
27905,1,2,12,14,0,3,1,4,1,0,0,0,38,1,[0]
20498,2,4,15,10,2,12,0,4,1,0,0,0,38,1,[0]
53623,2,2,4,12,4,7,2,0,0,1,1,1,36,1,[0]
51330,0,1,15,13,6,10,0,2,1,1,1,1,31,1,[0]
50278,1,4,2,15,5,0,1,0,1,1,1,0,32,1,[0]
25758,1,2,9,13,0,3,1,4,1,0,0,1,38,1,[0]
55155,2,6,3,15,5,10,2,4,0,1,1,1,23,1,[0]
45870,1,5,6,8,5,3,5,3,1,1,1,0,24,1,[0]
57041,2,0,3,6,4,10,5,0,0,1,1,0,8,1,[0]
29702,2,4,11,9,2,11,0,4,1,0,0,1,38,1,[0]
61066,2,6,2,14,2,10,1,1,1,1,1,1,31,1,[0]
64491,2,6,3,12,1,12,3,0,0,1,1,1,12,1,[0]
46473,1,2,15,13,1,12,3,1,0,1,1,1,23,1,[0]
34049,2,1,12,14,0,3,1,4,0,1,0,1,38,1,[0]
40153,2,2,6,5,0,2,4,4,0,1,0,0,38,1,[0]
12837,2,4,8,11,2,11,0,4,1,0,0,1,38,1,[0]
47997,2,0,9,9,5,13,0,2,1,1,1,0,4,1,[0]
54695,0,5,12,14,6,5,2,0,1,1,1,0,4,1,[0]
56125,2,5,11,8,4,6,3,2,0,1,1,0,26,1,[0]
24850,1,2,14,15,4,9,1,1,1,0,0,0,18,1,[0]
64314,2,3,8,2,0,4,4,0,0,1,1,1,2,1,[0]
48350,2,1,2,1,1,6,2,0,1,1,1,0,4,1,[0]
64851,0,1,8,13,6,1,4,1,1,1,1,0,34,1,[0]
11188,2,5,11,9,2,9,0,2,1,0,0,1,38,1,[0]
56024,1,2,15,6,3,9,5,4,1,1,1,0,5,1,[0]
29764,2,2,11,9,2,0,0,4,1,0,0,0,38,1,[0]
62932,1,5,14,9,0,10,1,3,1,1,1,0,6,1,[0]
1890,2,2,9,13,6,2,1,4,1,0,0,0,38,1,[0]
30028,2,3,15,10,2,11,0,4,1,0,0,1,38,1,[0]
50458,1,5,8,10,6,6,1,3,0,1,1,0,6,1,[0]
10999,2,2,5,4,2,13,0,4,1,1,0,0,38,1,[0]
46777,2,2,11,13,6,13,1,2,1,1,1,1,1,1,[0]
8249,1,3,11,9,2,11,0,4,1,0,0,1,38,1,[0]
29017,1,2,9,13,2,0,0,4,1,0,0,0,38,1,[0]
46861,0,1,10,7,1,7,1,2,1,1,1,1,31,1,[0]
32466,1,2,9,13,4,3,1,4,1,0,0,1,38,1,[0]
3886,0,2,9,13,2,9,0,4,1,0,0,1,38,1,[0]
64457,2,0,1,6,6,2,5,3,0,1,1,0,10,1,[0]
23131,1,5,7,12,0,0,4,4,1,0,1,0,38,1,[0]
36543,0,2,11,9,2,6,0,4,1,1,0,0,38,1,[0]
62408,1,1,11,4,4,2,4,2,1,1,1,0,23,1,[0]
27454,0,4,15,10,2,3,0,4,1,0,0,0,38,1,[0]
4008,2,2,15,10,2,0,5,4,0,0,0,0,38,1,[0]
60979,2,0,12,1,4,13,0,3,1,1,1,1,32,1,[0]
48577,2,3,5,3,4,7,2,3,1,1,1,1,11,1,[0]
11256,1,1,15,10,2,3,5,4,0,0,0,0,38,1,[0]
54914,2,4,11,7,3,13,2,1,1,1,1,1,39,1,[0]
1330,1,2,7,12,4,3,1,4,0,0,0,1,38,1,[0]
48219,1,5,4,4,4,10,0,3,0,1,1,0,3,1,[0]
35923,1,2,11,9,2,2,0,4,1,0,0,0,38,1,[0]
