,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
42115,2,2,15,10,2,2,0,4,1,0,0,0,38,1,[1]
55515,1,3,12,1,3,8,3,3,1,1,1,0,21,1,[1]
7149,1,2,12,14,2,3,0,4,1,0,0,1,38,1,[1]
50456,2,1,5,16,3,12,1,0,0,1,1,0,39,1,[1]
54507,1,3,6,6,1,8,0,1,0,1,1,0,27,1,[1]
57578,1,3,7,13,4,10,2,1,1,1,1,0,8,1,[1]
4978,1,3,9,13,2,3,0,4,1,0,0,1,38,1,[1]
30949,1,2,12,14,2,3,0,4,1,0,0,0,38,1,[1]
10153,0,2,9,13,2,11,0,4,1,1,0,0,38,1,[1]
41009,1,4,12,14,2,3,0,4,1,0,0,1,38,1,[1]
57663,1,4,15,6,3,4,1,3,0,1,1,1,24,1,[1]
36232,1,2,15,10,2,11,0,4,1,0,1,1,38,1,[1]
44408,1,2,9,13,2,0,0,1,1,1,0,0,29,1,[1]
59718,2,0,0,11,3,4,2,1,0,1,1,0,15,1,[1]
55961,2,6,15,5,1,11,3,0,0,1,1,1,22,1,[1]
67541,1,4,9,2,4,8,0,0,0,1,1,1,6,1,[1]
64133,2,3,8,9,3,0,1,2,1,1,1,1,21,1,[1]
50713,2,3,14,3,1,10,0,1,0,1,1,1,11,1,[1]
55746,2,2,2,3,5,6,3,4,1,1,1,1,30,1,[1]
55872,1,3,8,15,5,0,3,1,1,1,1,1,17,1,[1]
33864,1,2,9,13,2,7,5,1,0,1,0,1,23,1,[1]
29796,1,2,9,13,0,11,1,0,1,0,1,1,38,1,[1]
46987,2,2,6,2,2,13,4,3,0,1,1,0,31,1,[1]
23496,1,2,12,14,2,3,0,4,1,0,0,1,38,1,[1]
9064,1,3,9,13,2,3,0,4,1,0,0,1,38,1,[1]
52418,1,2,5,9,0,13,2,3,1,1,1,0,25,1,[1]
39418,1,2,11,9,2,0,5,4,0,0,0,0,38,1,[1]
29265,1,4,14,15,2,9,0,4,1,0,0,1,38,1,[1]
52246,2,5,5,1,4,4,4,2,1,1,1,1,33,1,[1]
25085,1,2,9,13,2,3,0,4,1,0,0,0,38,1,[1]
46838,2,0,10,3,3,11,5,3,0,1,1,0,1,1,[1]
2101,2,2,10,16,2,9,0,4,1,1,0,1,38,1,[1]
26785,1,2,10,16,2,3,0,4,1,1,0,1,38,1,[1]
61425,1,1,14,9,0,2,2,0,0,1,1,0,3,1,[1]
68153,0,5,3,9,4,12,2,0,0,1,1,1,17,1,[1]
68297,2,3,1,11,0,10,2,3,0,1,1,0,23,1,[1]
50350,2,5,8,5,1,2,2,2,1,1,1,1,32,1,[1]
51772,1,1,5,16,3,0,5,3,1,1,1,0,11,1,[1]
64171,2,6,4,16,2,0,5,3,1,1,1,1,40,1,[1]
64971,2,1,0,6,4,5,4,1,1,1,1,1,27,1,[1]
65874,1,5,15,16,3,6,1,2,1,1,1,1,29,1,[1]
31049,2,3,14,15,2,9,0,1,1,1,0,1,18,1,[1]
57776,2,3,12,13,0,2,4,1,1,1,1,0,19,1,[1]
44393,1,3,9,13,2,4,0,4,1,0,0,1,38,1,[1]
61187,2,2,5,15,6,2,0,0,0,1,1,0,7,1,[1]
65160,2,4,12,12,1,4,4,4,0,1,1,1,21,1,[1]
3886,0,2,9,13,2,9,0,4,1,0,0,1,38,1,[1]
43629,1,2,8,11,2,2,0,4,1,1,0,0,38,1,[1]
16408,1,2,7,12,2,9,0,4,1,1,0,0,38,1,[1]
51970,2,1,6,13,2,0,5,1,1,1,1,0,12,1,[1]
45972,2,6,3,2,2,7,4,4,0,1,1,1,4,1,[1]
65909,2,4,4,16,2,12,1,4,1,1,1,0,16,1,[1]
25144,1,2,9,13,2,3,5,4,0,0,0,0,38,1,[1]
40723,2,0,12,14,2,3,0,4,1,0,0,0,31,1,[1]
21174,1,3,14,15,2,9,0,4,1,0,1,0,38,1,[1]
62236,2,1,11,8,2,10,0,3,0,1,1,1,3,1,[1]
54015,2,5,4,12,3,7,0,0,0,1,1,0,3,1,[1]
46104,2,2,12,13,0,3,2,1,1,1,1,0,37,1,[1]
46787,1,5,3,3,2,5,0,1,1,1,1,0,37,1,[1]
31001,1,2,9,13,2,3,0,4,1,0,0,1,38,1,[1]
12928,1,5,11,9,2,3,0,4,1,0,0,0,38,1,[1]
38138,1,2,9,13,2,3,0,4,1,0,0,1,1,1,[1]
10699,2,2,9,13,2,3,0,4,1,0,0,1,38,1,[1]
50253,1,6,14,8,4,2,2,0,0,1,1,1,39,1,[1]
7646,1,2,12,14,2,3,0,4,1,0,0,0,38,1,[1]
9000,1,1,9,13,2,9,5,2,0,1,0,0,38,1,[1]
49338,2,4,12,3,4,11,1,4,1,1,1,0,4,1,[1]
54851,1,3,2,5,0,2,2,2,1,1,1,0,14,1,[1]
40019,1,2,9,13,2,9,0,4,1,0,0,0,38,1,[1]
36881,2,2,11,9,2,3,0,4,1,0,0,0,38,1,[1]
62258,2,1,13,2,6,12,2,0,0,1,1,0,0,1,[1]
45709,2,4,0,13,0,7,1,1,0,1,1,1,22,1,[1]
50616,2,0,2,14,5,7,4,1,1,1,1,1,31,1,[1]
63151,2,4,5,14,2,6,1,4,1,1,1,1,31,1,[1]
64474,1,2,4,10,4,12,0,1,1,1,1,0,7,1,[1]
