,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
67020,1,1,15,1,4,6,4,3,0,1,1,1,16,0,[0]
61688,2,5,3,4,3,12,1,0,0,1,1,1,39,0,[0]
42565,0,2,5,4,0,13,1,4,1,0,0,0,38,0,[0]
21617,0,2,7,12,4,11,3,4,0,0,0,0,38,0,[0]
20651,0,5,15,10,4,0,3,4,1,0,0,0,38,0,[0]
25448,1,4,11,9,4,2,1,2,1,0,0,0,38,0,[0]
42361,1,2,9,13,4,11,1,4,1,0,0,0,38,0,[0]
23966,2,2,11,9,2,2,0,4,1,0,0,0,38,0,[0]
20088,1,2,0,6,0,6,1,4,1,0,0,1,38,0,[0]
3876,0,2,11,9,4,4,1,4,1,0,0,0,38,0,[0]
20292,1,4,9,13,2,3,0,4,1,0,0,1,10,0,[0]
64238,2,0,6,4,5,12,2,3,1,1,1,0,27,0,[0]
40662,1,2,8,11,2,2,0,4,1,0,0,0,38,0,[0]
49047,2,4,0,15,6,10,4,3,0,1,1,0,17,0,[0]
7915,1,2,8,11,0,11,4,4,0,0,0,0,38,0,[0]
44081,1,5,15,10,4,3,4,4,0,0,0,0,38,0,[0]
45326,2,1,9,4,2,7,4,2,1,1,1,0,22,0,[0]
72594,1,4,6,10,4,13,1,4,1,1,1,1,35,0,[0]
48202,1,1,5,13,6,12,5,1,1,1,1,1,32,0,[0]
63794,0,4,2,10,1,0,0,4,0,1,1,1,8,0,[0]
6884,0,2,15,10,4,6,3,2,1,0,0,0,38,0,[0]
25726,1,1,9,13,0,9,4,4,0,0,0,1,38,0,[0]
8697,0,2,11,9,4,7,3,2,1,0,0,0,38,0,[0]
1818,1,2,11,9,5,2,4,4,1,0,0,1,38,0,[0]
55309,2,3,2,13,6,7,2,2,1,1,1,1,24,0,[0]
21788,0,4,15,10,4,7,3,4,1,0,0,0,38,0,[0]
56340,1,2,8,3,6,5,2,3,0,1,1,0,12,0,[0]
691,2,1,8,11,2,3,0,4,1,0,0,0,38,0,[0]
2137,0,2,9,13,2,7,5,4,0,0,0,0,38,0,[0]
74215,0,2,11,5,0,1,0,2,1,1,1,0,34,0,[0]
5034,0,2,11,9,4,11,3,4,0,0,0,0,38,0,[0]
20722,0,2,9,13,4,9,1,4,0,0,0,0,38,0,[0]
34870,2,2,15,10,6,6,4,4,0,0,0,0,38,0,[0]
28296,2,2,15,10,4,0,1,2,0,0,0,0,38,0,[0]
78109,1,0,15,4,6,2,1,2,0,1,1,0,12,0,[0]
65492,2,1,12,8,0,0,3,4,1,1,1,1,16,0,[0]
15659,0,2,15,10,4,7,3,4,1,0,0,0,38,0,[0]
29669,0,2,5,4,4,2,3,4,1,0,0,0,38,0,[0]
1842,1,2,15,10,4,7,1,4,1,0,0,0,38,0,[0]
76702,0,0,5,12,3,13,0,3,1,1,1,0,28,0,[0]
35698,1,2,11,9,0,7,1,4,0,0,0,0,38,0,[0]
344,1,4,9,13,2,11,0,4,1,0,0,0,38,0,[0]
40726,1,2,0,6,4,11,3,4,0,0,0,0,38,0,[0]
53683,2,0,0,1,1,1,4,4,1,1,1,0,32,0,[0]
27670,0,1,9,13,4,9,3,4,0,0,0,0,38,0,[0]
54152,0,5,13,14,4,13,2,4,1,1,1,0,23,0,[0]
13134,0,2,15,10,4,7,1,4,0,0,0,0,38,0,[0]
22515,1,2,15,10,2,7,0,4,1,0,1,0,38,0,[0]
25693,2,4,15,10,2,3,0,4,1,0,0,0,38,0,[0]
1000,0,2,15,10,4,9,3,4,1,0,0,1,38,0,[0]
52464,1,2,8,14,0,13,2,1,1,1,1,0,37,0,[0]
881,1,2,11,9,2,6,5,4,0,0,0,0,38,0,[0]
