,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,0,2,226802,1,7,4,6,3,2,1,0,0,0,38,0
1,1,2,89814,11,9,2,4,0,4,1,0,0,1,38,0
2,0,1,336951,7,12,2,10,0,4,1,0,0,0,38,1
3,1,2,160323,15,10,2,6,0,2,1,1,0,0,38,1
4,1,2,198693,0,6,4,7,1,4,1,0,0,0,38,0
5,2,4,104626,14,15,2,9,0,4,1,1,0,0,38,1
6,0,2,369667,15,10,4,7,4,4,0,0,0,0,38,0
7,2,2,104996,5,4,2,2,0,4,1,0,0,0,38,0
8,2,2,184454,11,9,2,6,0,4,1,1,0,0,38,1
9,1,0,212465,9,13,2,0,0,4,1,0,0,0,38,0
10,0,2,82091,11,9,4,0,1,4,0,0,0,0,38,0
11,1,2,279724,11,9,2,6,0,4,1,1,0,0,38,1
12,1,2,346189,12,14,2,3,0,4,1,0,0,1,38,1
13,0,5,444554,15,10,4,7,3,4,1,0,0,0,38,0
14,1,2,128354,11,9,2,0,5,4,0,0,0,0,38,0
15,1,2,60548,11,9,6,6,4,4,0,0,0,0,38,0
16,1,2,107914,9,13,2,12,0,4,1,0,0,0,38,1
17,1,2,238588,15,10,4,7,3,2,0,0,0,0,38,0
18,0,2,220931,9,13,4,9,1,4,1,0,0,0,28,0
19,0,2,205947,9,13,2,9,0,4,1,0,0,0,38,0
20,1,4,432824,11,9,2,2,0,4,1,1,0,1,38,1
21,0,2,236427,11,9,4,0,3,4,1,0,0,0,38,0
22,0,2,134446,11,9,5,6,4,2,1,0,0,1,38,0
23,2,2,99516,11,9,2,2,0,4,1,0,0,0,38,0
24,1,4,109282,15,10,4,9,1,4,1,0,0,1,38,0
25,1,5,106444,15,10,2,3,0,2,1,1,0,0,38,1
26,2,4,186651,1,7,6,7,4,4,0,0,0,1,38,0
27,0,4,188274,9,13,4,11,1,4,1,0,0,1,38,0
28,0,1,258120,15,10,2,10,0,4,1,0,0,0,38,0
29,0,2,43311,11,9,0,3,4,4,0,0,0,0,38,0
30,1,1,403681,9,13,2,9,0,4,1,0,0,0,38,1
31,0,2,248446,4,3,4,8,1,4,1,0,0,1,12,0
32,0,2,269430,0,6,4,6,1,4,1,0,0,0,38,0
33,0,2,257509,11,9,4,2,3,4,1,0,0,0,38,0
34,2,2,136384,12,14,2,9,0,4,1,0,0,1,38,1
35,1,3,120277,8,11,2,11,0,4,1,0,0,0,38,1
36,1,2,465326,11,9,2,4,0,4,1,0,0,0,38,0
37,0,2,103634,1,7,2,7,0,4,1,0,0,0,38,0
38,0,5,138371,15,10,4,4,3,4,1,0,0,0,38,0
39,0,2,242832,8,11,2,9,5,4,0,0,0,0,38,1
40,1,2,290208,5,4,2,2,0,4,1,0,0,0,25,0
41,2,2,186272,15,10,2,13,0,4,1,1,0,1,38,0
42,2,2,201062,1,7,5,8,1,2,0,0,0,0,38,0
43,2,3,131916,11,9,6,3,1,4,0,0,0,1,38,0
44,0,2,54440,15,10,4,7,3,4,1,0,0,0,38,0
45,1,2,280215,11,9,0,5,3,2,1,0,0,0,38,0
46,0,2,214399,15,10,4,7,3,4,0,0,1,0,38,0
47,0,2,54164,11,9,4,7,1,4,1,1,0,1,38,1
48,1,2,219446,6,5,3,3,1,4,1,0,0,1,25,0
49,0,2,110677,15,10,4,0,3,4,0,0,0,0,38,0
50,2,2,145985,11,9,2,2,0,4,1,0,0,0,38,0
51,1,1,382078,9,13,2,3,0,4,1,1,0,1,38,1
52,1,3,170721,11,9,2,3,0,4,1,1,0,1,38,1
53,1,2,269705,11,9,2,5,0,4,1,0,0,0,38,0
54,0,2,101135,9,13,4,3,1,4,0,0,0,1,38,0
55,1,2,118429,15,10,0,11,1,4,1,0,0,0,38,0
56,0,2,31208,12,14,4,3,1,4,0,0,0,0,38,0
57,1,2,281384,11,9,4,6,3,4,0,0,0,0,38,0
58,1,1,171807,11,9,0,0,1,4,0,0,0,0,38,0
59,1,3,445382,7,12,2,2,0,4,1,1,0,1,38,1
60,0,2,105460,15,10,4,7,3,4,1,0,0,0,38,0
61,1,2,170338,11,9,5,13,1,4,1,0,0,0,38,0
62,1,2,102606,11,9,2,11,0,4,1,0,0,0,38,0
63,2,2,323887,15,10,2,3,0,4,1,1,0,0,38,1
64,1,2,175622,8,11,2,12,0,4,1,0,0,0,38,0
65,0,2,229636,11,9,2,6,0,4,1,0,0,0,25,0
66,0,2,388946,15,10,5,5,1,4,0,0,0,0,38,0
67,1,2,269034,15,10,2,2,0,3,1,0,0,0,5,0
68,1,2,75012,11,9,2,6,0,4,1,0,0,1,38,0
69,2,3,174379,11,9,2,11,0,4,1,0,0,0,38,0
70,1,2,312477,11,9,2,13,0,4,1,0,0,0,38,0
71,0,2,72055,15,10,4,0,1,4,0,0,0,0,38,0
72,1,3,67001,15,10,2,6,0,4,1,0,0,1,38,0
73,0,2,213734,9,13,4,3,1,4,1,0,0,0,38,0
74,0,2,83141,15,10,5,7,1,4,1,0,1,0,38,0
75,1,4,113752,15,10,2,2,0,4,1,0,0,1,38,0
76,1,2,170482,11,9,5,6,1,4,0,0,0,0,38,0
77,0,0,244689,1,7,4,7,3,4,0,0,0,0,38,0
78,2,2,160631,11,9,2,11,0,4,1,0,0,1,38,1
79,0,0,228724,15,10,4,1,1,4,1,0,0,0,38,0
80,2,2,292946,9,13,4,3,1,4,0,0,0,0,38,0
81,1,0,77443,5,4,4,7,1,2,1,0,0,0,38,0
82,1,2,176410,12,14,2,9,5,4,0,1,0,0,38,1
83,2,0,98984,9,13,0,0,1,4,1,0,0,0,38,0
84,1,2,198751,12,14,4,7,1,0,1,0,0,0,38,0
85,0,2,479296,11,9,4,5,3,4,1,0,0,0,38,0
86,0,2,235218,9,13,4,3,3,4,0,0,0,0,38,0
87,1,2,164877,0,6,2,4,0,4,1,0,0,0,38,0
88,2,2,272087,11,9,2,13,0,4,1,0,0,0,38,1
89,0,2,169699,11,9,4,0,1,4,0,0,0,0,38,0
90,1,2,202191,15,10,4,0,4,2,0,0,0,0,38,0
91,0,2,212261,15,10,4,13,3,2,1,0,0,0,38,0
92,2,4,301568,6,5,6,7,1,4,0,0,0,0,38,0
