age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
25,2,226802,1,7,4,6,3,2,1,0,0,40,38,0
38,2,89814,11,9,2,4,0,4,1,0,0,50,38,0
28,1,336951,7,12,2,10,0,4,1,0,0,40,38,1
44,2,160323,15,10,2,6,0,2,1,7688,0,40,38,1
34,2,198693,0,6,4,7,1,4,1,0,0,30,38,0
63,4,104626,14,15,2,9,0,4,1,3103,0,32,38,1
24,2,369667,15,10,4,7,4,4,0,0,0,40,38,0
55,2,104996,5,4,2,2,0,4,1,0,0,10,38,0
65,2,184454,11,9,2,6,0,4,1,6418,0,40,38,1
36,0,212465,9,13,2,0,0,4,1,0,0,40,38,0
26,2,82091,11,9,4,0,1,4,0,0,0,39,38,0
48,2,279724,11,9,2,6,0,4,1,3103,0,48,38,1
43,2,346189,12,14,2,3,0,4,1,0,0,50,38,1
20,5,444554,15,10,4,7,3,4,1,0,0,25,38,0
43,2,128354,11,9,2,0,5,4,0,0,0,30,38,0
37,2,60548,11,9,6,6,4,4,0,0,0,20,38,0
34,2,107914,9,13,2,12,0,4,1,0,0,47,38,1
34,2,238588,15,10,4,7,3,2,0,0,0,35,38,0
25,2,220931,9,13,4,9,1,4,1,0,0,43,28,0
25,2,205947,9,13,2,9,0,4,1,0,0,40,38,0
45,4,432824,11,9,2,2,0,4,1,7298,0,90,38,1
22,2,236427,11,9,4,0,3,4,1,0,0,20,38,0
23,2,134446,11,9,5,6,4,2,1,0,0,54,38,0
54,2,99516,11,9,2,2,0,4,1,0,0,35,38,0
32,4,109282,15,10,4,9,1,4,1,0,0,60,38,0
46,5,106444,15,10,2,3,0,2,1,7688,0,38,38,1
56,4,186651,1,7,6,7,4,4,0,0,0,50,38,0
24,4,188274,9,13,4,11,1,4,1,0,0,50,38,0
23,1,258120,15,10,2,10,0,4,1,0,0,40,38,0
26,2,43311,11,9,0,3,4,4,0,0,0,40,38,0
36,1,403681,9,13,2,9,0,4,1,0,0,40,38,1
22,2,248446,4,3,4,8,1,4,1,0,0,50,12,0
17,2,269430,0,6,4,6,1,4,1,0,0,40,38,0
20,2,257509,11,9,4,2,3,4,1,0,0,40,38,0
65,2,136384,12,14,2,9,0,4,1,0,0,50,38,1
44,3,120277,8,11,2,11,0,4,1,0,0,45,38,1
36,2,465326,11,9,2,4,0,4,1,0,0,40,38,0
29,2,103634,1,7,2,7,0,4,1,0,0,40,38,0
20,5,138371,15,10,4,4,3,4,1,0,0,32,38,0
28,2,242832,8,11,2,9,5,4,0,0,0,36,38,1
39,2,290208,5,4,2,2,0,4,1,0,0,40,25,0
54,2,186272,15,10,2,13,0,4,1,3908,0,50,38,0
52,2,201062,1,7,5,8,1,2,0,0,0,18,38,0
56,3,131916,11,9,6,3,1,4,0,0,0,50,38,0
18,2,54440,15,10,4,7,3,4,1,0,0,20,38,0
39,2,280215,11,9,0,5,3,2,1,0,0,40,38,0
21,2,214399,15,10,4,7,3,4,0,0,1721,24,38,0
22,2,54164,11,9,4,7,1,4,1,14084,0,60,38,1
38,2,219446,6,5,3,3,1,4,1,0,0,54,25,0
21,2,110677,15,10,4,0,3,4,0,0,0,40,38,0
63,2,145985,11,9,2,2,0,4,1,0,0,40,38,0
34,1,382078,9,13,2,3,0,4,1,3103,0,50,38,1
42,3,170721,11,9,2,3,0,4,1,5178,0,50,38,1
33,2,269705,11,9,2,5,0,4,1,0,0,40,38,0
30,2,101135,9,13,4,3,1,4,0,0,0,50,38,0
39,2,118429,15,10,0,11,1,4,1,0,0,40,38,0
26,2,31208,12,14,4,3,1,4,0,0,0,40,38,0
33,2,281384,11,9,4,6,3,4,0,0,0,40,38,0
47,1,171807,11,9,0,0,1,4,0,0,0,40,38,0
41,3,445382,7,12,2,2,0,4,1,15024,0,60,38,1
19,2,105460,15,10,4,7,3,4,1,0,0,20,38,0
46,2,170338,11,9,5,13,1,4,1,0,0,40,38,0
43,2,102606,11,9,2,11,0,4,1,0,0,48,38,0
55,2,323887,15,10,2,3,0,4,1,15024,0,45,38,1
46,2,175622,8,11,2,12,0,4,1,0,0,40,38,0
30,2,229636,11,9,2,6,0,4,1,0,0,40,25,0
21,2,388946,15,10,5,5,1,4,0,0,0,40,38,0
46,2,269034,15,10,2,2,0,3,1,0,0,40,5,0
41,2,75012,11,9,2,6,0,4,1,0,0,50,38,0
69,3,174379,11,9,2,11,0,4,1,0,0,30,38,0
50,2,312477,11,9,2,13,0,4,1,0,0,40,38,0
20,2,72055,15,10,4,0,1,4,0,0,0,40,38,0
45,3,67001,15,10,2,6,0,4,1,0,0,50,38,0
23,2,213734,9,13,4,3,1,4,1,0,0,40,38,0
24,2,83141,15,10,5,7,1,4,1,0,1876,40,38,0
31,4,113752,15,10,2,2,0,4,1,0,0,50,38,0
43,2,170482,11,9,5,6,1,4,0,0,0,44,38,0
20,0,244689,1,7,4,7,3,4,0,0,0,10,38,0
55,2,160631,11,9,2,11,0,4,1,0,0,56,38,1
24,0,228724,15,10,4,1,1,4,1,0,0,40,38,0
59,2,292946,9,13,4,3,1,4,0,0,0,25,38,0
49,0,77443,5,4,4,7,1,2,1,0,0,20,38,0
33,2,176410,12,14,2,9,5,4,0,5178,0,10,38,1
59,0,98984,9,13,0,0,1,4,1,0,0,40,38,0
34,2,198751,12,14,4,7,1,0,1,0,0,40,38,0
20,2,479296,11,9,4,5,3,4,1,0,0,40,38,0
25,2,235218,9,13,4,3,3,4,0,0,0,40,38,0
49,2,164877,0,6,2,4,0,4,1,0,0,40,38,0
59,2,272087,11,9,2,13,0,4,1,0,0,40,38,1
20,2,169699,11,9,4,0,1,4,0,0,0,40,38,0
33,2,202191,15,10,4,0,4,2,0,0,0,35,38,0
22,2,212261,15,10,4,13,3,2,1,0,0,39,38,0
58,4,301568,6,5,6,7,1,4,0,0,0,40,38,0
52,1,155233,11,9,6,0,4,4,0,0,0,28,38,0
36,2,75826,0,6,5,6,1,4,0,0,0,40,38,0
41,1,201520,11,9,2,10,0,4,1,0,0,40,38,0
28,2,154236,11,9,4,13,3,4,1,2597,0,40,38,0
19,2,289227,15,10,4,5,3,2,1,0,0,16,38,0
18,2,217439,11,9,4,7,1,4,0,0,0,28,38,0
18,2,179020,11,9,4,6,3,4,0,0,0,48,38,0
28,2,149624,15,10,2,2,0,4,1,0,0,40,38,0
29,2,337266,8,11,2,3,0,4,1,0,0,40,38,1
40,2,103541,15,10,2,5,0,4,1,0,0,40,38,0
26,2,206721,11,9,4,5,4,4,1,0,0,40,38,0
46,2,96773,11,9,2,2,0,4,1,0,0,40,38,0
23,2,200967,1,7,4,7,1,4,0,0,0,24,38,0
44,2,180019,11,9,3,0,4,4,0,0,0,40,38,0
43,2,179866,9,13,0,11,4,4,0,0,0,40,38,1
31,1,198770,9,13,0,9,4,4,0,0,0,60,38,0
18,2,219256,15,10,4,11,3,4,0,0,0,25,38,0
19,2,248730,15,10,4,10,3,4,1,0,0,30,38,0
41,2,110732,15,10,0,12,1,4,0,0,0,40,38,0
41,2,181020,11,9,0,5,4,4,0,0,0,40,38,0
69,2,183791,11,9,0,0,1,4,0,0,0,25,38,0
48,0,42972,10,16,2,9,5,4,0,0,0,40,38,1
28,2,134813,11,9,4,9,3,4,1,0,0,40,38,0
27,4,115438,11,9,2,2,0,4,1,0,0,60,20,1
41,2,239296,12,14,2,9,0,4,1,0,2415,50,38,1
41,2,428420,15,10,2,0,0,4,1,0,0,40,38,0
