age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
43,4,5,6,0,1,0,2,0,17385,3632,75,26,1,[0]
86,6,3,14,6,2,0,3,0,83460,3605,85,18,1,[0]
67,6,15,1,6,6,4,0,1,74633,1053,63,15,0,[1]
49,3,9,13,4,11,1,4,1,0,0,60,38,0,[1]
60,1,9,6,2,12,3,1,0,73583,1593,98,20,0,[1]
29,2,15,10,5,12,4,4,0,0,0,40,38,0,[1]
86,3,1,6,4,6,3,4,0,67579,726,63,11,0,[1]
72,0,6,11,4,2,0,1,1,77051,2403,35,28,0,[1]
46,0,13,4,2,11,1,1,0,57571,616,9,5,1,[0]
64,2,11,7,5,12,5,4,0,91180,652,47,7,1,[0]
44,4,11,9,2,4,0,4,1,0,0,40,38,1,[0]
85,2,7,13,2,5,0,4,1,56074,129,13,24,0,[1]
86,3,14,6,5,12,0,1,0,7519,2296,98,23,0,[1]
51,4,2,15,2,13,5,0,0,16206,4085,89,6,1,[0]
21,3,11,4,5,12,4,1,1,24416,2567,47,9,0,[1]
85,5,5,5,4,0,0,3,1,74682,964,17,35,1,[0]
44,2,9,13,4,9,1,4,1,0,0,45,38,0,[1]
78,0,2,8,6,5,1,0,1,5828,1056,20,5,0,[1]
33,4,1,7,0,13,4,0,0,8047,2671,78,12,0,[1]
31,5,4,5,5,9,4,1,1,63046,1766,55,31,0,[1]
45,4,11,12,0,1,4,1,1,52340,4282,56,3,1,[0]
89,6,13,6,2,5,1,4,0,81007,4195,59,17,1,[0]
66,2,4,13,6,10,3,1,0,55630,3218,3,2,0,[1]
88,0,2,5,3,4,2,0,1,26617,667,92,35,1,[0]
36,2,11,9,2,13,0,4,1,0,0,70,38,0,[1]
75,6,14,16,3,10,5,2,1,43986,2097,75,38,1,[0]
32,1,15,6,1,9,3,4,0,12011,315,26,20,0,[1]
27,0,0,11,1,1,4,4,1,7907,472,39,13,1,[0]
47,2,11,9,2,12,5,4,0,0,0,40,38,0,[1]
46,2,11,9,2,3,0,2,1,0,0,40,38,1,[0]
88,6,12,16,5,8,1,4,0,52896,3930,37,23,0,[1]
55,4,15,4,0,7,4,3,0,5709,2100,34,5,0,[1]
56,4,15,10,2,11,5,4,0,0,0,60,38,1,[0]
40,0,10,1,2,7,1,4,0,83821,1793,61,0,0,[1]
79,0,15,13,1,5,0,0,0,18792,1255,76,31,1,[0]
88,0,15,11,3,10,4,4,0,98227,367,12,40,1,[0]
56,6,14,7,4,11,1,1,1,54576,230,88,28,0,[1]
30,0,10,6,2,13,0,3,0,93581,2689,64,21,0,[1]
32,2,0,1,2,1,5,1,1,40289,2296,54,12,1,[0]
42,2,3,5,1,6,5,2,1,91818,655,43,31,0,[1]
41,2,11,9,2,2,0,4,1,0,0,40,38,0,[1]
45,2,2,8,2,0,5,2,0,3103,0,40,38,1,[0]
83,2,3,6,4,11,1,3,0,47621,3415,98,15,0,[1]
84,6,15,5,6,10,3,4,0,71418,1399,97,4,1,[0]
20,3,6,10,4,1,3,4,1,32672,1018,6,29,1,[0]
50,5,2,11,4,6,4,0,1,66818,1572,65,19,1,[0]
39,2,15,10,2,11,0,4,1,0,0,55,38,1,[0]
69,3,1,10,1,0,0,1,1,42740,1282,68,35,0,[1]
65,5,11,16,4,7,3,0,1,8413,3422,22,17,0,[1]
45,2,9,13,2,2,0,4,1,0,0,50,38,0,[1]
49,2,10,16,0,3,4,4,1,0,0,40,38,1,[0]
70,5,7,11,5,12,5,1,1,60667,2376,51,8,1,[0]
35,3,12,14,2,11,0,4,1,0,0,45,25,1,[0]
47,1,12,14,4,9,1,4,1,0,0,40,38,0,[1]
60,4,12,9,4,1,0,0,1,11339,2701,29,39,0,[1]
73,3,2,1,3,11,1,4,1,47376,2836,85,13,0,[1]
61,2,11,9,2,3,0,4,1,0,0,50,38,0,[1]
73,0,12,13,5,5,1,1,1,7125,561,57,14,1,[0]
76,5,4,4,0,12,2,0,1,6097,2049,48,5,0,[1]
60,2,3,11,1,1,0,1,1,34180,2639,71,16,0,[1]
39,2,11,9,0,6,4,4,1,2977,0,40,38,0,[1]
27,2,11,9,2,7,5,4,0,0,0,40,38,1,[0]
35,2,8,11,2,2,0,4,1,0,0,40,38,0,[1]
40,5,15,10,4,0,4,2,0,0,0,49,38,0,[1]
47,2,9,13,4,3,1,4,1,0,0,50,38,0,[1]
49,4,14,7,4,3,1,1,1,88276,2644,46,17,0,[1]
73,2,9,14,6,9,2,2,1,52854,2917,71,3,1,[0]
60,0,13,5,0,13,3,1,0,96410,1873,74,0,0,[1]
90,0,15,7,1,0,3,1,0,12114,4096,86,38,1,[0]
42,1,7,4,4,2,5,0,0,55835,3318,72,33,0,[1]
42,2,15,10,2,11,0,4,1,0,0,60,38,1,[0]
30,2,9,13,5,5,0,2,1,8325,1682,91,9,0,[1]
53,5,10,16,2,9,0,4,1,0,0,40,38,0,[1]
31,4,9,13,2,4,0,4,1,0,0,70,38,0,[1]
29,4,0,10,3,12,3,1,0,15562,2616,61,25,0,[1]
59,4,9,13,6,9,1,4,0,0,0,50,38,1,[0]
51,4,8,11,2,12,0,4,1,0,0,38,38,1,[0]
23,0,12,7,5,0,3,1,1,94164,1759,91,18,1,[0]
60,2,15,5,2,7,0,1,0,22010,2171,59,27,1,[0]
45,0,15,10,2,12,0,4,1,0,0,40,38,1,[0]
54,2,12,14,2,9,0,4,1,0,0,45,38,1,[0]
31,2,0,6,2,12,0,4,1,0,0,40,38,1,[0]
36,2,11,9,2,0,0,4,1,0,0,50,38,0,[1]
69,1,11,3,6,13,3,1,1,3626,2794,26,30,1,[0]
83,4,3,5,1,10,3,2,0,57674,2675,47,15,0,[1]
59,5,14,1,2,8,2,4,0,79513,4117,74,11,1,[0]
23,0,12,2,6,10,1,3,1,40355,415,17,37,1,[0]
33,0,14,15,2,9,5,4,0,0,0,40,38,1,[0]
36,5,4,15,6,8,4,2,0,81121,1405,52,15,0,[1]
83,5,14,5,1,11,1,3,1,24871,1266,77,3,1,[0]
76,6,3,14,5,8,5,0,0,7461,1517,69,25,0,[1]
42,4,15,10,2,2,0,4,1,0,0,40,7,0,[1]
36,6,14,6,4,5,2,3,1,67048,2375,2,11,0,[1]
25,6,0,11,5,12,3,0,1,97874,2598,68,15,1,[0]
75,4,8,1,6,5,2,4,0,62678,2974,83,26,1,[0]
62,3,12,12,5,3,0,1,1,77454,3085,10,23,0,[1]
25,5,14,12,6,10,3,0,1,12819,725,60,38,1,[0]
37,0,14,4,4,11,0,4,0,44432,3543,90,16,1,[0]
21,6,13,7,2,3,5,2,0,25787,1644,5,37,0,[1]
50,0,12,3,1,13,0,3,0,74026,1706,85,7,0,[1]
34,6,11,9,0,12,0,3,0,48157,368,9,3,0,[1]
78,3,12,7,0,10,3,2,1,68230,3551,3,39,0,[1]
50,0,15,10,2,3,0,2,1,0,0,40,38,0,[1]
38,1,12,2,0,6,5,2,0,85880,2277,58,39,1,[0]
39,6,2,4,5,10,2,0,0,71284,4056,43,21,1,[0]
47,2,11,9,2,2,0,4,1,0,0,40,38,0,[1]
53,3,4,10,0,6,1,2,1,6565,1892,8,4,0,[1]
50,3,9,13,2,11,0,4,1,0,0,60,38,1,[0]
54,6,14,3,2,10,5,2,0,81925,2041,61,34,0,[1]
40,2,11,9,2,11,0,4,1,0,0,60,38,0,[1]
86,5,5,16,4,0,1,4,0,77100,3479,68,21,0,[1]
49,6,1,13,1,12,0,3,1,17962,2228,29,33,0,[1]
63,2,8,13,1,1,4,0,0,35039,2023,35,40,0,[1]
45,6,7,10,2,8,1,3,0,65034,1766,4,11,0,[1]
21,1,15,4,0,13,3,0,1,95053,2165,98,34,0,[1]
78,4,1,1,1,5,0,3,0,5085,3975,97,25,1,[0]
23,3,13,2,6,12,0,2,1,43209,3264,54,29,1,[0]
71,4,9,13,2,9,0,4,1,0,0,34,38,1,[0]
29,6,10,12,0,3,5,0,0,62773,1743,99,18,0,[1]
39,2,11,9,2,9,0,4,1,0,0,40,38,0,[1]
81,4,2,12,4,8,4,4,1,72891,2186,94,30,1,[0]
52,2,4,11,6,5,5,4,1,824,1560,46,34,0,[1]
81,2,11,13,4,11,5,0,1,56070,3576,29,38,1,[0]
25,3,15,15,5,1,5,1,1,35895,2476,55,24,0,[1]
37,2,8,11,2,2,0,4,1,0,0,40,38,1,[0]
36,4,11,9,4,4,1,4,1,0,0,70,38,1,[0]
88,6,0,1,6,9,4,1,0,78704,217,74,33,0,[1]
68,4,11,6,1,13,0,3,1,77154,2894,12,27,0,[1]
76,4,4,15,2,9,1,1,1,11414,3651,89,16,0,[1]
77,4,6,10,2,8,0,3,0,60097,2688,53,16,0,[1]
80,6,15,5,4,1,5,2,1,72093,3485,77,28,0,[1]
30,2,9,13,2,9,5,4,0,0,0,40,38,1,[0]
65,1,4,11,6,3,4,3,0,43665,3546,80,23,1,[0]
45,0,14,11,6,10,5,4,0,88043,333,7,6,1,[0]
21,6,0,5,1,1,2,3,1,39488,878,89,13,0,[1]
18,4,7,15,0,11,3,0,0,85611,1138,4,37,0,[1]
23,3,12,2,1,2,4,1,0,88769,3881,85,34,1,[0]
64,2,11,11,5,2,5,2,1,18781,1922,93,15,0,[1]
76,0,4,10,1,0,4,0,1,46343,1450,79,5,1,[0]
41,5,13,2,2,13,4,4,1,60802,3791,45,2,0,[1]
33,1,15,12,4,6,3,2,0,90999,127,21,39,1,[0]
17,0,7,9,2,11,4,2,1,1996,1881,94,3,1,[0]
75,0,1,5,4,13,4,4,1,96794,967,29,37,0,[1]
45,5,12,15,4,1,0,2,0,68792,1484,31,11,1,[0]
41,2,15,10,2,2,0,4,1,0,0,40,38,1,[0]
