age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
56,2,6,5,0,0,1,4,1,0,0,40,38,0,[1]
40,2,15,10,4,3,1,4,0,0,1340,40,38,0,[1]
43,2,11,9,2,13,0,1,1,0,0,99,38,0,[1]
34,2,11,9,2,2,0,4,1,0,0,50,38,1,[0]
33,2,12,14,2,9,0,4,1,0,0,45,38,1,[0]
40,2,11,9,2,11,0,4,1,0,0,40,38,1,[0]
29,0,15,10,4,7,1,4,0,0,0,40,38,1,[0]
33,2,11,9,2,11,0,4,1,0,1672,55,38,0,[1]
34,3,9,13,4,9,1,4,0,0,0,62,38,1,[0]
29,2,9,13,2,11,0,4,1,0,0,40,38,0,[1]
44,2,11,9,2,13,0,4,1,0,0,40,38,0,[1]
63,4,14,15,2,9,0,4,1,0,0,30,38,0,[1]
33,2,11,9,2,0,5,4,0,0,0,40,38,1,[0]
42,4,9,13,2,9,0,4,1,0,0,52,38,1,[0]
40,2,9,13,0,3,1,4,1,0,0,55,38,1,[0]
38,2,8,11,2,2,0,4,1,0,0,40,38,1,[0]
36,2,11,9,2,11,0,4,1,0,0,50,38,1,[0]
47,2,11,9,2,7,5,2,0,0,0,30,38,0,[1]
52,2,6,5,0,2,4,4,0,0,0,40,4,0,[1]
53,2,15,10,4,3,1,4,1,0,0,40,38,0,[1]
32,2,8,11,0,11,1,4,1,0,0,50,38,1,[0]
30,2,9,13,2,7,5,4,0,0,0,40,38,1,[0]
45,2,9,13,2,13,0,4,1,0,0,40,38,1,[0]
66,2,12,14,2,9,0,4,1,2936,0,20,38,0,[1]
51,5,9,13,2,9,0,2,1,0,0,40,38,1,[0]
40,2,15,10,2,13,0,4,1,0,0,50,38,1,[0]
43,0,9,13,2,9,0,4,1,0,0,40,38,0,[1]
45,2,15,10,2,2,0,4,1,0,0,40,38,1,[0]
29,2,9,13,2,9,5,4,0,0,0,50,38,1,[0]
57,2,11,9,2,2,0,2,1,0,0,48,38,0,[1]
57,2,11,9,2,2,0,4,1,0,0,50,38,1,[0]
30,4,7,12,4,2,3,4,1,0,0,40,38,0,[1]
42,2,9,13,2,11,0,4,1,0,0,60,38,0,[1]
30,2,11,9,2,2,0,4,1,0,0,45,38,1,[0]
40,2,0,6,5,13,4,4,0,0,0,70,38,0,[1]
43,2,11,9,2,2,0,4,1,0,0,44,38,0,[1]
42,3,9,13,0,12,1,4,0,0,1564,60,38,1,[0]
28,2,15,10,2,3,0,1,1,0,0,40,29,0,[1]
47,1,12,14,2,9,0,4,1,0,0,40,38,1,[0]
38,2,11,9,2,2,0,4,1,0,0,40,38,1,[0]
36,2,11,9,2,2,0,4,1,0,0,55,38,1,[0]
36,0,7,12,2,0,5,4,0,0,0,40,38,1,[0]
31,2,9,13,3,9,1,1,1,0,0,40,23,0,[1]
35,3,9,13,5,9,1,4,0,0,0,50,38,0,[1]
57,2,11,9,2,6,0,4,1,0,0,40,38,1,[0]
