age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
1,2,6,5,0,0,1,4,1,0,0,2,38
1,2,15,10,4,3,1,4,0,0,3,2,38
1,2,11,9,2,13,0,1,1,0,0,4,38
0,2,11,9,2,2,0,4,1,0,0,2,38
0,2,12,14,2,9,0,4,1,0,0,2,38
1,2,11,9,2,11,0,4,1,0,0,2,38
0,0,15,10,4,7,1,4,0,0,0,2,38
0,2,11,9,2,11,0,4,1,0,3,2,38
0,3,9,13,4,9,1,4,0,0,0,3,38
0,2,9,13,2,11,0,4,1,0,0,2,38
1,2,11,9,2,13,0,4,1,0,0,2,38
2,4,14,15,2,9,0,4,1,0,0,1,38
0,2,11,9,2,0,5,4,0,0,0,2,38
1,4,9,13,2,9,0,4,1,0,0,2,38
1,2,9,13,0,3,1,4,1,0,0,2,38
0,2,8,11,2,2,0,4,1,0,0,2,38
0,2,11,9,2,11,0,4,1,0,0,2,38
1,2,11,9,2,7,5,2,0,0,0,1,38
1,2,6,5,0,2,4,4,0,0,0,2,4
1,2,15,10,4,3,1,4,1,0,0,2,38
0,2,8,11,0,11,1,4,1,0,0,2,38
0,2,9,13,2,7,5,4,0,0,0,2,38
1,2,9,13,2,13,0,4,1,0,0,2,38
2,2,12,14,2,9,0,4,1,4,0,1,38
1,5,9,13,2,9,0,2,1,0,0,2,38
1,2,15,10,2,13,0,4,1,0,0,2,38
1,0,9,13,2,9,0,4,1,0,0,2,38
1,2,15,10,2,2,0,4,1,0,0,2,38
0,2,9,13,2,9,5,4,0,0,0,2,38
1,2,11,9,2,2,0,2,1,0,0,2,38
1,2,11,9,2,2,0,4,1,0,0,2,38
0,4,7,12,4,2,3,4,1,0,0,2,38
1,2,9,13,2,11,0,4,1,0,0,3,38
0,2,11,9,2,2,0,4,1,0,0,2,38
1,2,0,6,5,13,4,4,0,0,0,3,38
1,2,11,9,2,2,0,4,1,0,0,2,38
1,3,9,13,0,12,1,4,0,0,3,3,38
0,2,15,10,2,3,0,1,1,0,0,2,29
1,1,12,14,2,9,0,4,1,0,0,2,38
0,2,11,9,2,2,0,4,1,0,0,2,38
