,sexC,ageC,raceC,MC,priors_count_C
0,0,3,3,0,0
1,0,1,0,0,0
2,0,1,0,0,4
3,0,1,0,0,1
4,0,2,3,1,2
5,0,2,3,2,0
6,0,2,1,0,14
7,0,2,3,1,3
8,0,1,1,0,1
9,0,1,1,0,0
10,1,1,1,1,0
11,0,2,0,0,0
12,1,2,1,0,1
13,0,1,0,0,7
14,0,1,2,6,0
15,0,1,0,0,3
16,0,1,1,0,6
17,0,1,1,0,5
18,0,3,0,2,13
19,0,1,0,0,1
20,0,1,1,0,0
21,1,1,1,0,0
22,0,1,2,0,1
23,0,2,1,2,1
24,0,1,3,0,0
25,0,1,0,0,8
26,1,1,1,0,3
27,0,1,0,0,5
28,0,1,0,0,0
29,0,1,1,0,9
30,0,1,0,0,4
31,0,2,1,0,0
32,0,2,3,0,7
33,0,1,1,0,6
34,1,1,1,0,4
35,0,1,1,4,1
36,0,1,0,0,21
37,0,1,1,0,0
38,1,1,0,0,2
39,0,2,0,0,2
40,0,1,1,1,2
41,1,2,0,2,7
42,0,1,0,0,0
43,0,1,1,0,9
44,0,1,0,4,13
45,0,2,1,1,0
46,0,1,0,0,4
47,0,1,0,4,0
48,0,1,1,0,1
49,1,1,3,0,0
50,1,3,2,3,1
51,0,1,0,0,15
52,0,1,2,0,0
53,0,2,0,1,4
54,0,2,1,0,8
55,0,1,0,4,5
56,0,3,0,0,10
57,0,1,0,0,15
58,0,1,1,0,4
59,0,1,0,0,2
60,0,1,0,0,4
61,0,1,0,0,6
62,0,1,3,0,0
63,1,2,0,5,0
64,0,2,2,0,6
65,0,1,0,0,1
66,0,1,0,0,5
67,0,1,1,0,1
68,0,1,0,0,2
69,0,1,1,0,0
70,1,1,0,0,1
71,0,1,1,0,1
72,0,1,0,4,0
73,0,2,0,0,1
74,0,1,0,0,8
75,0,2,3,1,0
76,0,1,0,0,14
77,0,0,3,0,0
78,0,1,0,0,2
79,0,1,0,0,2
80,1,1,0,0,1
81,0,1,0,0,9
82,0,1,1,0,7
83,0,1,3,0,1
84,0,1,1,0,9
85,0,3,0,0,12
86,1,0,1,0,0
87,0,3,1,0,3
88,1,2,1,0,0
89,1,2,2,1,0
90,0,0,0,0,1
91,0,1,0,0,1
92,0,1,0,0,1
93,1,1,1,1,0
94,0,1,1,0,8
95,0,1,1,0,0
96,0,1,1,0,0
97,1,1,1,0,1
98,0,2,0,0,14
99,0,2,1,0,1
100,0,1,0,0,3
101,0,1,1,0,5
102,0,1,1,0,0
103,0,1,0,4,5
104,0,1,0,2,3
105,0,2,1,1,1
106,0,2,0,0,10
107,0,1,0,0,0
108,0,1,0,5,28
109,0,1,0,0,1
110,1,1,3,0,1
111,0,1,1,0,13
112,0,1,0,0,3
113,0,2,0,0,8
114,0,2,1,0,3
115,0,1,0,0,19
116,1,3,1,1,2
117,0,1,1,0,4
118,0,2,1,0,6
119,1,1,1,0,2
120,0,1,1,0,1
121,0,1,1,0,2
122,1,1,3,1,2
123,0,1,1,0,0
124,1,1,0,0,0
125,1,1,1,0,10
126,0,2,1,1,2
127,1,1,2,0,4
128,0,1,0,0,3
129,0,1,1,0,2
130,0,1,0,1,1
131,0,2,1,0,1
132,1,2,1,0,4
133,1,0,0,0,1
134,1,2,1,1,0
135,0,1,0,0,9
136,0,1,0,0,11
137,0,1,0,0,8
138,1,1,0,0,0
139,1,1,0,0,7
140,0,1,0,0,2
141,1,0,0,0,0
142,1,1,1,0,0
143,1,3,0,4,1
144,0,2,3,1,13
145,0,3,2,0,1
146,1,1,0,0,4
147,0,1,2,0,1
148,1,2,3,1,1
149,1,1,0,0,2
150,0,1,1,0,1
151,1,1,1,0,3
152,0,1,0,0,1
153,0,2,1,0,2
154,0,1,0,0,1
155,0,2,1,0,6
156,1,2,1,1,6
157,0,1,1,0,0
158,0,1,0,0,1
159,0,1,2,0,0
160,1,1,0,0,5
161,0,2,2,1,2
162,0,3,0,0,8
163,1,1,1,0,6
164,0,2,1,0,1
165,0,1,2,0,8
166,0,1,0,5,6
167,0,2,2,0,0
168,0,3,1,1,1
169,0,2,1,5,0
170,0,1,3,1,0
171,0,1,0,0,22
172,0,1,0,0,1
173,0,2,0,0,23
174,0,1,0,0,0
175,0,2,2,5,1
176,1,1,1,0,2
177,0,3,0,1,3
178,0,2,1,5,8
179,1,2,3,1,0
180,0,1,0,0,2
181,0,1,1,0,0
182,0,1,0,0,9
183,0,2,1,0,2
184,0,1,0,4,0
185,0,1,0,0,2
186,1,1,0,0,1
