,sexC,ageC,raceC,MC,priors_count_C,label,predication
4053,1,1,0,0,0,1,0
1652,0,2,2,0,3,0,1
2971,0,1,0,0,0,1,0
2742,0,1,0,0,1,1,0
4685,0,3,0,0,6,0,1
6658,0,1,0,0,0,1,0
1506,0,1,1,0,6,0,1
438,0,1,1,0,1,1,0
906,1,1,1,0,0,1,0
6263,0,1,1,0,1,1,0
5041,0,1,0,1,1,0,1
2505,0,1,0,0,1,1,0
1502,0,1,2,0,0,1,0
5577,1,1,1,0,1,1,0
4570,1,2,3,0,0,1,0
3404,0,1,3,1,3,1,0
4069,0,1,1,0,5,0,1
3417,1,1,1,0,4,0,1
2781,0,1,0,0,1,1,0
1731,0,1,1,0,2,1,0
5214,0,1,3,0,1,1,0
6071,1,1,1,1,7,0,1
1321,0,1,1,0,7,0,1
4214,0,2,0,0,0,1,0
1537,0,1,0,1,1,0,1
5538,0,2,3,0,1,1,0
2233,0,2,0,0,3,0,1
5988,0,1,0,0,0,1,0
1626,1,1,2,0,5,0,1
6243,1,1,0,0,2,1,0
5107,1,0,1,0,1,0,1
3715,0,1,1,0,2,1,0
4358,0,2,2,0,1,1,0
2227,0,1,1,0,0,1,0
4728,0,1,1,0,3,0,1
3716,1,1,1,0,0,1,0
5090,0,3,1,1,1,1,0
761,0,1,1,0,2,1,0
1554,0,1,0,0,1,1,0
3761,1,1,0,0,0,1,0
6338,0,2,1,0,5,1,0
2358,0,1,1,0,2,1,0
4668,1,1,0,0,0,1,0
3819,0,1,1,0,2,1,0
3167,0,1,1,1,2,1,0
2858,0,2,0,0,2,1,0
3988,0,1,0,0,1,1,0
3282,0,1,0,0,4,0,1
3513,0,2,1,0,0,1,0
1159,1,1,0,0,0,1,0
793,0,2,0,0,20,0,1
3276,0,1,1,0,2,1,0
325,0,1,3,0,1,1,0
2907,1,1,2,5,10,1,0
6326,1,2,0,0,7,1,0
1791,0,1,3,0,6,0,1
2338,0,2,0,0,4,0,1
2851,0,1,0,4,0,1,0
3267,0,1,0,0,0,1,0
4867,0,2,3,1,0,1,0
5461,0,1,1,0,12,0,1
1991,0,1,3,0,0,1,0
4249,0,1,1,0,3,0,1
3990,0,1,1,1,2,1,0
5252,0,1,0,0,0,1,0
2377,0,1,1,0,1,1,0
2730,0,1,3,0,4,1,0
6554,0,1,3,1,0,1,0
6163,0,2,0,1,0,1,0
927,0,1,0,0,1,1,0
1160,0,1,1,0,1,1,0
4464,1,1,0,0,0,1,0
2157,0,1,0,0,0,1,0
503,0,1,0,0,1,1,0
6052,0,1,0,0,2,0,1
3631,0,2,1,0,6,1,0
1183,0,1,0,0,6,0,1
3875,0,1,0,0,4,0,1
1079,0,3,0,5,1,1,0
2036,0,3,1,0,11,1,0
4767,0,2,0,0,1,1,0
203,0,1,0,0,2,0,1
2181,0,1,1,0,1,1,0
5893,0,2,1,0,1,1,0
1410,0,1,0,0,0,1,0
5208,0,2,3,0,6,1,0
2932,0,2,3,1,7,1,0
2989,0,2,1,2,3,0,1
1794,1,1,0,0,1,1,0
1217,0,1,0,0,0,1,0
4498,0,1,0,0,2,0,1
6298,0,2,0,0,13,0,1
871,0,2,0,0,2,1,0
5088,0,1,1,0,0,1,0
6250,1,2,0,0,2,1,0
407,0,2,0,0,21,1,0
1344,0,2,1,0,15,0,1
6430,0,1,0,1,2,1,0
5790,0,1,1,2,0,1,0
368,0,1,1,0,3,0,1
3384,0,1,0,0,1,1,0
4555,1,1,0,0,3,0,1
1628,0,1,1,0,0,1,0
6044,0,1,0,0,6,0,1
308,0,1,0,0,7,0,1
1235,0,1,0,1,1,0,1
5398,0,1,0,0,1,1,0
6301,1,1,1,2,2,1,0
4281,0,1,1,6,7,1,0
3636,0,1,0,0,1,1,0
5722,0,2,1,0,2,1,0
5258,0,2,1,6,1,0,1
2645,0,2,3,0,0,0,1
3207,0,1,2,0,1,1,0
2328,0,2,1,0,5,1,0
1264,0,1,2,0,3,0,1
354,0,1,1,0,2,1,0
1497,0,1,0,0,2,0,1
4719,0,2,1,5,1,1,0
2967,1,3,0,0,1,1,0
3108,0,1,3,2,0,1,0
1740,0,1,1,0,6,0,1
6090,0,1,0,0,0,1,0
1064,0,1,0,0,0,1,0
3338,0,2,1,0,7,1,0
4836,0,0,0,0,0,0,1
5316,0,2,1,5,1,1,0
4507,0,1,1,0,7,0,1
3936,0,1,2,0,1,1,0
3400,0,2,0,0,2,1,0
2812,0,1,1,0,2,1,0
3777,0,2,1,0,5,1,0
4115,0,1,1,5,1,1,0
901,0,2,0,1,0,1,0
5241,0,2,0,0,21,1,0
4965,0,3,1,0,7,1,0
4146,1,1,1,0,1,1,0
2213,0,2,2,0,1,1,0
2661,0,1,2,0,0,1,0
6429,0,1,0,0,0,1,0
1508,1,1,1,5,1,1,0
6325,0,1,1,0,8,0,1
5312,0,2,0,1,4,1,0
784,0,1,1,0,1,1,0
5855,0,1,1,0,1,1,0
1073,1,1,1,4,0,0,1
6846,0,1,0,0,0,1,0
3501,0,1,1,1,4,1,0
3738,0,1,1,0,1,1,0
6776,0,3,2,0,2,1,0
4696,1,0,0,0,0,1,0
311,0,1,1,0,8,0,1
2809,0,2,0,0,15,0,1
623,0,1,0,0,1,1,0
4092,0,1,1,0,0,1,0
6176,0,1,0,0,1,1,0
1051,0,2,0,0,7,0,1
3253,0,2,0,4,0,0,1
3505,0,1,0,0,0,1,0
3369,0,1,0,1,0,1,0
6308,0,1,0,0,2,0,1
4165,0,1,0,4,0,1,0
3463,0,1,1,0,1,1,0
1519,1,0,1,0,0,0,1
2617,0,1,1,1,2,1,0
5710,0,1,0,0,5,0,1
6646,0,1,0,0,1,1,0
3001,0,1,0,0,15,0,1
276,0,2,1,0,3,0,1
3397,1,2,1,5,3,1,0
929,0,1,0,4,5,1,0
6096,0,1,0,0,1,1,0
3810,0,2,0,5,26,1,0
4158,0,1,0,0,0,1,0
4563,0,2,3,0,0,0,1
6636,0,2,1,0,0,1,0
5334,0,1,0,0,0,1,0
4500,0,1,1,0,3,0,1
5365,0,1,0,0,2,0,1
553,0,3,1,0,0,1,0
4532,0,2,0,1,9,0,1
2095,0,1,0,0,2,0,1
4853,0,1,0,1,2,1,0
1271,0,1,1,0,0,1,0
2473,0,1,2,0,1,1,0
2019,0,1,0,0,6,0,1
5526,0,1,2,0,5,0,1
4832,1,2,1,0,2,0,1
6400,0,1,0,0,2,0,1
3579,0,2,0,0,9,0,1
3419,0,2,0,2,0,0,1
2947,0,2,2,0,0,0,1
6317,0,2,1,1,0,1,0
314,0,1,1,4,2,1,0
607,1,1,1,1,0,1,0
4013,0,1,0,0,0,1,0
1958,0,1,2,0,0,1,0
5155,0,1,0,0,7,0,1
2459,0,2,3,0,3,1,0
4089,0,1,1,0,1,1,0
6829,0,1,1,5,4,0,1
4215,1,1,0,0,1,1,0
3903,0,1,3,4,0,1,0
6363,0,1,0,2,6,1,0
729,0,1,3,0,3,0,1
5894,0,2,1,0,7,1,0
229,0,1,0,0,14,0,1
6845,0,1,0,0,0,1,0
1946,0,1,0,0,2,0,1
6446,0,1,0,0,1,1,0
863,0,1,0,0,0,1,0
994,0,1,0,0,1,1,0
5290,0,1,0,0,4,0,1
2162,0,1,0,0,1,1,0
4709,0,1,0,1,0,1,0
2711,0,1,0,0,0,1,0
28,0,1,0,0,0,1,0
2657,0,1,0,0,2,0,1
745,1,1,0,4,4,0,1
2708,0,1,2,0,7,0,1
1822,0,1,0,0,4,0,1
1759,0,1,2,0,0,1,0
2991,0,1,1,5,3,0,1
5552,0,1,1,0,6,0,1
822,0,1,0,4,1,1,0
1921,0,2,0,2,0,0,1
4385,0,2,0,1,0,1,0
3162,0,1,0,1,3,1,0
4543,0,3,0,0,13,0,1
2418,0,1,2,1,2,0,1
1748,0,1,1,0,3,0,1
