,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,act,pred
13607,0,3,1,5,4,1,1,9,3,0,2,0,[1]
13651,0,3,0,0,1,1,10,0,2,0,0,0,[1]
9927,0,2,2,3,2,1,6,6,1,1,2,0,[1]
1638,0,1,0,0,1,0,7,0,0,0,0,0,[1]
12100,0,2,1,3,0,0,2,6,0,2,0,0,[1]
11309,1,3,3,0,3,0,1,3,1,0,2,0,[1]
5287,0,1,1,1,0,0,4,0,0,0,0,0,[1]
959,0,1,0,0,0,0,5,0,0,0,0,0,[1]
918,0,1,1,5,0,0,1,0,0,0,0,0,[1]
7231,1,0,2,0,0,1,7,6,3,1,1,0,[1]
9691,1,1,2,6,1,1,8,4,0,1,0,0,[1]
15901,0,2,1,6,2,1,2,1,1,1,2,0,[1]
4484,0,1,0,0,1,0,8,0,0,0,0,0,[1]
2951,0,1,1,0,2,0,10,0,0,0,0,0,[1]
3152,1,1,1,0,0,0,10,0,0,0,0,0,[1]
12749,1,2,3,6,2,0,6,6,1,0,2,0,[1]
13438,0,0,1,2,2,0,3,2,3,2,0,0,[1]
10988,0,3,0,0,3,0,7,2,1,1,1,0,[1]
12694,1,3,1,2,4,0,9,2,1,0,0,0,[1]
10919,1,2,3,3,3,0,3,8,2,2,1,0,[1]
3847,1,1,0,0,0,1,10,1,0,0,0,0,[1]
13700,0,2,1,6,0,1,2,1,2,1,0,0,[1]
7080,1,3,3,6,3,1,3,4,0,2,0,0,[1]
12416,1,2,1,4,0,0,3,3,3,2,0,0,[1]
4754,0,1,3,0,0,1,1,3,0,0,0,0,[1]
3006,0,2,0,0,0,0,8,0,0,0,0,0,[1]
6485,1,1,1,0,0,0,9,0,0,0,0,0,[1]
13567,1,3,3,1,1,1,2,1,1,2,2,0,[1]
7149,1,2,0,3,4,0,5,4,0,1,0,0,[1]
3227,1,2,1,0,0,0,3,0,0,0,0,0,[1]
6992,0,2,0,3,4,1,8,0,0,1,2,0,[1]
15549,0,2,0,1,4,0,5,2,0,1,0,0,[1]
15725,0,1,0,6,3,0,1,8,1,1,2,0,[1]
1541,0,2,0,0,1,0,2,0,0,0,0,0,[1]
13350,0,3,0,6,0,1,6,5,0,0,0,0,[1]
15820,0,1,0,2,2,0,2,7,2,2,0,0,[1]
13382,0,0,2,3,4,0,4,5,0,1,0,0,[1]
11145,0,1,1,3,4,0,6,6,3,2,1,0,[1]
14244,1,1,2,1,0,0,4,4,2,0,0,0,[1]
13488,0,1,3,2,4,0,7,3,0,1,2,0,[1]
8363,0,2,2,5,4,0,2,5,1,0,2,0,[1]
8748,0,2,3,2,3,0,6,4,1,1,2,0,[1]
7905,1,2,2,5,2,1,5,2,2,1,0,0,[1]
9884,0,2,1,1,1,0,8,6,2,2,2,0,[1]
9427,1,2,1,3,0,0,2,4,0,2,1,0,[1]
15868,0,1,1,1,1,1,5,8,0,1,1,0,[1]
4237,0,2,1,5,0,0,3,0,0,0,0,0,[1]
7860,1,3,3,6,2,1,4,1,0,2,0,0,[1]
3791,0,2,0,1,1,0,3,0,0,0,0,0,[1]
8678,0,0,0,4,2,1,8,8,3,1,0,0,[1]
6097,0,1,0,0,0,0,10,0,0,0,0,0,[1]
10276,1,1,3,2,0,1,10,5,3,0,1,0,[1]
10838,0,1,1,3,0,1,2,6,1,1,2,0,[1]
12241,1,2,0,0,0,1,5,9,0,2,2,0,[1]
13680,1,3,2,0,2,1,8,8,1,0,0,0,[1]
6536,1,1,0,0,0,0,10,0,0,0,0,0,[1]
4821,0,1,0,0,0,0,8,0,0,0,0,0,[1]
9424,1,1,1,4,4,0,3,8,0,0,0,0,[1]
7034,0,0,0,1,3,0,1,9,3,0,2,0,[1]
6811,0,2,0,0,0,0,7,0,0,0,0,0,[1]
5273,0,1,0,4,0,0,2,0,0,0,0,0,[1]
9118,0,3,2,0,0,0,9,3,3,2,0,0,[1]
13179,1,3,3,0,0,1,7,7,2,0,0,0,[1]
6375,0,1,0,0,0,1,5,0,0,0,0,0,[1]
