,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,act,pred
11456,0,2,3,2,2,0,7,4,2,0,0,1,[0]
4570,1,2,3,0,0,0,1,0,0,0,0,1,[0]
10057,1,3,1,1,4,1,1,0,0,2,1,1,[0]
7331,0,0,3,1,3,0,8,0,1,2,2,1,[0]
10811,1,3,3,2,4,0,5,5,2,0,1,1,[0]
14233,1,0,0,3,4,0,3,0,1,0,1,1,[0]
13769,1,2,0,1,2,1,5,5,2,2,0,1,[0]
6595,0,1,3,0,0,0,2,0,0,0,0,1,[0]
1841,0,1,0,0,0,0,3,0,0,0,0,1,[0]
8181,1,1,3,0,0,0,3,3,0,2,2,1,[0]
17958,0,1,0,5,2,1,6,2,0,0,0,1,[0]
8736,1,3,0,0,3,1,8,4,0,2,0,1,[0]
12031,0,0,3,0,0,0,7,9,2,0,2,1,[0]
13667,0,1,2,6,1,0,5,3,3,2,1,1,[0]
4385,0,2,0,1,0,1,1,0,0,0,0,1,[0]
5674,0,1,1,0,1,0,7,0,0,0,0,1,[0]
2055,0,2,0,0,0,0,5,0,0,0,0,1,[0]
14626,0,1,2,5,1,0,4,2,3,0,2,1,[0]
11148,0,1,0,2,2,1,6,3,3,1,2,1,[0]
6636,0,2,1,0,0,1,2,0,0,0,0,1,[0]
168,0,3,1,1,0,1,1,0,0,0,0,1,[0]
2036,0,3,1,0,1,0,1,0,0,0,0,1,[0]
9826,0,2,3,5,1,1,3,0,2,2,0,1,[0]
7424,0,1,2,0,0,0,9,6,2,0,2,1,[0]
5213,0,1,2,0,0,0,5,0,0,0,0,1,[0]
9262,1,2,2,2,1,1,1,8,2,0,2,1,[0]
16667,1,3,3,6,4,0,6,5,1,1,2,1,[0]
7639,0,3,1,1,2,1,7,1,0,1,1,1,[0]
14459,1,1,1,4,4,0,8,2,3,2,0,1,[0]
18726,1,0,1,4,1,1,6,2,2,1,1,1,[0]
3095,0,2,0,0,1,0,9,0,0,0,0,1,[0]
9008,0,0,0,3,1,1,8,8,2,0,2,1,[0]
10610,0,0,0,0,3,0,10,0,3,1,1,1,[0]
14095,1,1,3,1,2,0,1,0,2,0,1,1,[0]
19410,0,3,2,2,0,0,8,7,3,0,1,1,[0]
14958,0,2,3,2,0,1,2,3,0,2,2,1,[0]
10691,0,2,1,2,0,1,1,7,3,0,2,1,[0]
9628,0,2,0,1,3,1,4,4,2,2,1,1,[0]
18524,1,0,1,6,1,1,7,2,2,1,1,1,[0]
18580,1,0,2,4,4,1,5,4,3,2,2,1,[0]
4535,0,0,1,0,0,0,4,0,0,0,0,1,[0]
5717,0,1,1,0,0,0,9,0,0,0,1,1,[0]
17064,1,1,3,6,1,0,5,3,0,2,0,1,[0]
16865,0,3,2,5,2,0,2,1,0,0,1,1,[0]
16737,0,0,0,4,0,1,1,4,0,1,1,1,[0]
4696,1,0,0,0,0,0,6,0,0,0,0,1,[0]
201,0,2,1,5,0,0,1,0,0,0,0,1,[0]
13848,1,2,2,2,1,0,6,5,1,0,2,1,[0]
9645,0,3,0,6,2,0,5,2,3,0,2,1,[0]
18089,1,0,2,2,3,1,9,9,1,1,1,1,[0]
10349,0,3,1,6,0,1,7,1,0,2,0,1,[0]
3267,0,1,0,0,0,0,1,0,0,0,0,1,[0]
506,0,1,1,0,0,0,1,0,0,0,0,1,[0]
12966,1,0,1,1,4,0,9,8,0,0,0,1,[0]
10069,0,0,2,5,1,1,6,1,0,2,0,1,[0]
