,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,act,pred
3253,0,2,0,4,0,0,1,0,0,0,0,0,[0]
1544,0,2,3,1,0,0,1,0,0,0,0,0,[0]
15497,0,1,3,1,3,1,4,7,3,2,2,0,[0]
13987,1,3,2,6,0,0,1,6,0,2,0,0,[0]
9598,1,1,1,1,1,1,10,6,1,2,2,0,[0]
6668,0,2,1,5,0,0,3,0,0,0,0,0,[0]
5781,0,1,1,0,0,0,3,0,0,0,0,0,[0]
8266,0,1,0,2,4,0,7,6,1,1,2,0,[0]
3729,0,2,1,1,0,1,1,0,0,0,0,0,[0]
6793,0,2,0,0,0,1,6,1,0,0,0,0,[0]
10985,1,0,0,6,2,0,5,5,3,0,2,0,[0]
6052,0,1,0,0,0,0,1,0,0,0,0,0,[0]
19005,1,3,2,0,1,1,3,8,3,0,0,0,[0]
8876,1,2,1,0,3,0,10,4,1,0,2,0,[0]
7716,0,0,0,3,3,1,2,7,2,1,1,0,[0]
6753,0,3,1,1,0,1,1,0,0,0,0,0,[0]
19206,1,2,3,4,4,0,5,8,0,0,1,0,[0]
2655,0,1,2,0,0,0,10,0,0,0,0,0,[0]
2782,1,2,1,1,0,1,2,0,0,0,0,0,[0]
12143,0,3,0,4,3,0,7,6,0,2,0,0,[0]
3198,0,1,0,0,0,1,2,0,0,0,0,0,[0]
8018,1,0,2,1,0,0,7,2,2,1,1,0,[0]
4,0,2,3,1,0,0,1,0,0,0,0,0,[0]
1332,1,2,1,0,0,0,1,0,0,0,0,0,[0]
17122,0,3,2,1,3,1,3,4,2,0,2,0,[0]
72,0,1,0,4,0,0,2,0,0,0,0,0,[0]
7076,1,0,1,0,3,1,10,7,2,0,1,0,[0]
2277,0,2,1,0,2,1,7,0,0,0,0,0,[0]
3894,0,2,2,0,0,0,1,0,0,0,0,0,[0]
12209,0,1,1,3,0,0,5,7,2,0,2,0,[0]
596,0,1,0,0,0,1,1,0,0,0,0,0,[0]
15216,0,2,3,4,2,1,6,4,0,1,1,0,[0]
2029,0,2,1,1,0,1,1,0,0,0,0,0,[0]
4476,1,1,0,0,0,0,5,0,0,0,0,0,[0]
343,0,1,1,0,0,0,4,0,0,0,0,0,[0]
1916,0,2,0,0,0,0,1,0,0,0,0,0,[0]
18300,1,0,1,6,2,1,3,1,0,1,2,0,[0]
9755,0,2,2,5,3,0,5,4,1,1,2,0,[0]
17640,1,3,3,6,0,0,9,8,0,2,1,0,[0]
3833,1,2,1,1,0,0,5,0,0,0,0,0,[0]
5953,0,1,1,0,0,1,10,0,0,0,0,0,[0]
7970,0,2,3,3,2,1,2,3,1,1,0,0,[0]
14276,1,3,1,1,1,1,6,9,2,0,1,0,[0]
88,1,2,1,0,0,1,1,0,0,0,0,0,[0]
18538,0,1,3,2,3,0,5,2,0,1,1,0,[0]
