,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,act,pred
6704,0,1,0,0,0,0,6,0,0,0,0,0,[1]
2478,0,1,1,0,0,1,4,0,0,0,0,0,[1]
4685,0,3,0,0,0,1,4,0,0,0,0,0,[1]
2973,0,1,0,0,0,0,7,0,0,0,0,0,[1]
2080,1,1,1,0,0,0,2,0,0,0,0,0,[1]
3682,0,1,0,0,0,0,5,0,0,0,0,0,[1]
2912,0,1,1,0,0,1,6,0,0,0,0,0,[1]
3417,1,1,1,0,0,0,2,0,0,0,0,0,[1]
6071,1,1,1,1,0,1,7,0,0,0,0,0,[1]
5112,0,1,0,0,0,1,3,0,0,0,0,0,[1]
1537,0,1,0,1,0,1,2,0,0,0,0,0,[1]
4193,0,1,0,0,0,0,5,0,0,0,0,0,[1]
4258,0,1,0,0,0,0,6,0,0,0,0,0,[1]
4728,0,1,1,0,0,0,5,0,0,0,0,0,[1]
4496,0,1,0,0,0,0,6,0,0,0,0,0,[1]
3553,1,1,1,0,0,1,7,0,0,0,0,0,[1]
3282,0,1,0,0,0,1,9,0,0,0,0,0,[1]
793,0,2,0,0,2,0,8,0,0,0,0,0,[1]
1556,0,1,2,0,0,0,6,0,0,0,0,0,[1]
6009,1,1,1,0,0,0,6,0,0,0,0,0,[1]
200,1,1,0,0,0,0,9,0,0,0,0,0,[1]
6240,1,1,0,0,0,0,9,0,0,0,0,0,[1]
4518,0,1,2,6,0,0,5,0,0,0,0,0,[1]
4249,0,1,1,0,0,0,5,0,0,0,0,0,[1]
6767,0,1,0,0,0,0,6,0,0,0,0,0,[1]
3759,0,1,0,0,0,1,3,0,0,0,0,0,[1]
1913,0,1,2,0,0,0,5,0,0,0,0,0,[1]
3984,0,1,1,0,0,0,5,1,0,0,0,0,[1]
3875,0,1,0,0,0,0,9,0,0,0,0,0,[1]
4906,0,1,1,0,0,0,8,0,0,0,0,0,[1]
4604,0,1,2,6,0,0,5,0,0,0,0,0,[1]
3934,0,1,0,5,0,1,7,0,0,0,0,0,[1]
895,0,1,0,0,0,0,8,0,0,0,0,0,[1]
4498,0,1,0,0,0,0,10,1,0,0,0,0,[1]
6298,0,2,0,0,1,1,5,0,0,0,0,0,[1]
4211,0,1,0,0,0,0,4,0,0,0,0,0,[1]
5553,0,2,0,0,0,1,2,0,0,0,0,0,[1]
4710,0,1,0,0,0,0,5,0,0,0,0,0,[1]
6677,0,1,1,0,0,1,6,0,0,0,0,0,[1]
6044,0,1,0,0,0,1,10,0,0,0,0,0,[1]
308,0,1,0,0,0,0,9,0,0,0,0,0,[1]
6405,0,1,0,0,0,0,9,0,0,0,0,0,[1]
2978,1,1,0,0,0,1,3,0,0,0,0,0,[1]
5798,0,2,2,6,0,0,1,0,0,0,0,0,[1]
4937,0,1,0,0,0,1,3,0,0,0,0,0,[1]
3406,0,2,0,0,0,1,4,0,0,0,0,0,[1]
608,0,1,3,0,0,0,9,0,0,0,0,0,[1]
4507,0,1,1,0,0,0,5,0,0,0,0,0,[1]
3219,1,2,1,2,0,0,2,0,0,0,0,0,[1]
5301,0,1,0,0,0,0,4,0,0,0,0,0,[1]
3290,0,1,0,0,0,1,3,0,0,0,0,0,[1]
2619,0,1,0,0,0,0,7,0,0,0,0,0,[1]
5440,0,1,1,0,0,0,5,0,0,0,0,0,[1]
6325,0,1,1,0,1,1,9,0,0,0,0,0,[1]
1073,1,1,1,4,0,1,1,0,0,0,0,0,[1]
4036,0,1,0,0,0,0,5,0,0,0,0,0,[1]
1355,0,1,0,0,0,0,8,0,0,0,0,0,[1]
2899,1,1,1,5,0,0,5,0,0,0,0,0,[1]
6589,1,2,1,4,0,0,1,0,0,0,0,0,[1]
2285,0,1,1,1,0,1,6,0,0,0,0,0,[1]
5710,0,1,0,0,0,0,4,0,0,0,0,0,[1]
3001,0,1,0,0,1,0,8,0,0,0,0,0,[1]
5786,0,3,0,5,3,0,7,0,0,0,0,0,[1]
4016,0,1,2,0,0,0,6,0,0,0,0,0,[1]
823,0,1,0,0,0,0,7,0,0,0,0,0,[1]
4563,0,2,3,0,0,1,1,0,0,0,0,0,[1]
2095,0,1,0,0,0,0,6,0,0,0,0,0,[1]
2019,0,1,0,0,0,0,7,0,0,0,0,0,[1]
3419,0,2,0,2,0,1,1,0,0,0,0,0,[1]
1899,0,2,0,0,0,0,9,0,0,0,0,0,[1]
5155,0,1,0,0,0,0,10,0,0,0,0,0,[1]
6829,0,1,1,5,0,0,5,0,0,0,0,0,[1]
6628,0,3,0,0,1,0,3,0,0,0,0,0,[1]
4740,0,1,0,0,0,0,6,0,0,0,0,0,[1]
5727,0,1,0,0,0,0,4,0,0,0,0,0,[1]
2351,1,1,1,0,0,0,2,0,0,0,0,0,[1]
229,0,1,0,0,1,0,9,0,0,0,0,0,[1]
3227,1,2,1,0,0,0,3,0,0,0,0,0,[1]
3504,0,1,2,0,0,0,5,0,0,0,0,0,[1]
6582,0,1,0,0,0,0,9,0,0,0,0,0,[1]
3928,1,1,0,0,0,0,10,0,0,0,0,0,[1]
5012,0,1,1,0,0,1,4,0,0,0,0,0,[1]
1822,0,1,0,0,0,0,8,0,0,0,0,0,[1]
141,1,0,0,0,0,0,6,0,0,0,0,0,[1]
5552,0,1,1,0,0,0,10,0,0,0,0,0,[1]
2717,0,1,0,0,0,0,9,0,0,0,0,0,[1]
1921,0,2,0,2,0,1,1,0,0,0,0,0,[1]
5973,1,2,1,2,0,0,1,0,0,0,0,0,[1]
2560,0,2,0,0,1,0,5,0,0,0,0,0,[1]
1684,0,1,1,0,0,0,5,0,0,0,0,0,[1]
5543,0,1,3,0,0,1,4,0,0,0,0,0,[1]
1736,0,2,1,1,0,1,5,0,0,0,0,0,[1]
2993,0,1,0,0,0,0,10,0,0,0,0,0,[1]
3458,1,1,1,0,0,0,6,0,0,0,0,0,[1]
2696,0,1,0,0,0,0,8,0,0,0,0,0,[1]
3949,0,1,0,0,0,1,3,0,0,0,0,0,[1]
5493,0,2,0,0,0,0,9,0,0,0,0,0,[1]
1687,0,1,0,0,0,0,8,0,0,0,0,0,[1]
33,0,1,1,0,0,1,8,0,0,0,0,0,[1]
4189,0,1,0,0,0,0,7,0,0,0,0,0,[1]
4497,0,1,0,0,0,0,6,0,0,0,0,0,[1]
1123,0,2,0,1,0,1,5,0,0,0,0,0,[1]
2951,0,1,1,0,2,0,10,0,0,0,0,0,[1]
1125,0,1,1,0,0,1,4,0,0,0,0,0,[1]
4623,0,1,0,0,0,0,7,0,0,0,0,0,[1]
4376,0,2,0,0,1,1,5,1,0,0,0,0,[1]
1233,0,2,0,0,0,0,5,0,0,0,0,0,[1]
1499,0,1,0,0,0,0,10,0,0,0,0,0,[1]
4674,0,1,0,0,0,0,7,0,0,0,0,0,[1]
1230,0,1,2,0,0,0,5,0,0,0,0,0,[1]
2600,0,1,0,0,0,0,6,0,0,0,0,0,[1]
3979,0,1,0,0,0,0,7,0,0,0,0,0,[1]
2198,0,1,0,0,0,0,7,0,0,0,0,0,[1]
4290,1,1,0,6,0,1,5,0,0,0,0,0,[1]
3091,0,1,0,0,0,0,4,0,0,0,0,0,[1]
2860,0,1,0,0,1,1,5,0,0,0,0,0,[1]
4698,0,1,1,0,0,0,9,0,0,0,0,0,[1]
2917,0,1,1,0,1,1,8,0,0,0,0,0,[1]
5688,0,1,0,0,0,0,5,0,0,0,0,0,[1]
955,0,1,0,0,0,0,6,0,0,0,0,0,[1]
2949,0,2,0,0,1,0,6,0,0,0,0,0,[1]
5372,0,1,0,0,0,1,9,0,0,0,0,0,[1]
4503,0,1,0,0,0,0,8,0,0,0,0,0,[1]
1993,0,2,0,0,0,0,5,0,0,0,0,0,[1]
2544,0,1,0,0,0,0,5,0,0,0,0,0,[1]
1685,0,1,0,0,0,1,3,0,0,0,0,0,[1]
3318,0,1,3,0,1,1,2,0,0,0,0,0,[1]
5993,0,1,0,0,0,0,4,0,0,0,0,0,[1]
4556,0,1,1,0,0,0,5,0,0,0,0,0,[1]
5514,0,1,2,0,0,0,8,0,0,0,0,0,[1]
157,0,1,1,0,0,0,5,0,0,0,0,0,[1]
5911,1,1,1,0,0,0,5,0,0,0,0,0,[1]
2707,0,1,0,0,2,0,9,0,0,0,0,0,[1]
2839,1,1,1,0,0,0,5,0,0,0,0,0,[1]
1892,0,1,0,0,0,0,6,0,0,0,0,0,[1]
3568,1,1,0,0,0,1,3,0,0,0,0,0,[1]
2755,0,1,0,0,0,0,7,0,0,0,0,0,[1]
5486,0,1,0,0,0,0,6,0,0,0,0,0,[1]
2966,0,1,1,0,0,1,5,0,0,0,0,0,[1]
3224,0,2,0,2,0,1,1,0,0,0,0,0,[1]
6571,1,1,1,0,0,1,8,0,0,0,0,0,[1]
1185,0,1,1,0,0,1,8,0,0,0,0,0,[1]
6874,0,1,1,0,0,0,8,0,0,0,0,0,[1]
1703,0,2,0,5,0,0,7,0,0,0,0,0,[1]
5141,0,1,2,0,0,0,5,0,0,0,0,0,[1]
4900,0,1,0,0,0,0,6,0,0,0,0,0,[1]
1950,0,1,0,0,0,1,9,0,0,0,0,0,[1]
1356,0,1,0,0,0,0,7,0,0,0,0,0,[1]
4860,0,1,1,0,0,0,7,0,0,0,0,0,[1]
1177,0,1,0,0,0,0,9,0,0,0,0,0,[1]
3794,0,1,0,0,0,1,7,0,0,0,0,0,[1]
4220,1,1,1,0,0,1,10,0,0,0,0,0,[1]
6464,0,2,3,0,0,1,1,0,0,0,0,0,[1]
5221,0,2,1,0,0,1,5,0,0,0,0,0,[1]
