,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,act,pred
1380,1,1,0,0,0,0,5,0,0,0,0,1,[0]
4053,1,1,0,0,0,1,4,0,0,0,0,1,[0]
2406,0,1,0,0,0,1,5,0,0,0,0,1,[0]
2620,1,1,3,1,0,0,4,0,0,0,0,1,[0]
438,0,1,1,0,0,0,4,0,0,0,0,1,[0]
4712,0,1,0,0,0,0,2,0,0,0,0,1,[0]
906,1,1,1,0,0,1,5,0,0,0,0,1,[0]
6263,0,1,1,0,0,0,4,0,0,0,0,1,[0]
2505,0,1,0,0,0,0,3,0,0,0,0,1,[0]
4570,1,2,3,0,0,0,1,0,0,0,0,1,[0]
2781,0,1,0,0,0,1,2,1,0,0,0,1,[0]
3849,0,2,0,0,0,0,4,0,0,0,0,1,[0]
5214,0,1,3,0,0,0,4,0,0,0,0,1,[0]
4872,0,2,2,0,1,0,6,0,0,0,0,1,[0]
5988,0,1,0,0,0,0,3,0,0,0,0,1,[0]
3715,0,1,1,0,0,0,2,0,0,0,0,1,[0]
4358,0,2,2,0,0,0,2,0,0,0,0,1,[0]
2227,0,1,1,0,0,0,2,0,0,0,0,1,[0]
3716,1,1,1,0,0,0,8,0,0,0,0,1,[0]
5090,0,3,1,1,0,0,1,0,0,0,0,1,[0]
3761,1,1,0,0,0,0,8,0,0,0,0,1,[0]
4678,0,2,1,0,0,1,2,0,0,0,0,1,[0]
767,0,1,0,0,0,0,2,0,0,0,0,1,[0]
2358,0,1,1,0,0,0,6,0,0,0,0,1,[0]
3167,0,1,1,1,0,0,2,0,0,0,0,1,[0]
2858,0,2,0,0,0,1,6,0,0,0,0,1,[0]
3988,0,1,0,0,0,1,6,0,0,0,0,1,[0]
3513,0,2,1,0,0,1,2,0,0,0,0,1,[0]
4247,0,1,1,0,1,0,4,0,0,0,0,1,[0]
2193,0,1,0,1,0,0,2,0,0,0,0,1,[0]
6326,1,2,0,0,0,0,4,0,0,0,0,1,[0]
714,0,1,0,0,0,1,5,0,0,0,0,1,[0]
2851,0,1,0,4,0,0,1,0,0,0,0,1,[0]
3267,0,1,0,0,0,0,1,0,0,0,0,1,[0]
4535,0,0,1,0,0,0,4,0,0,0,0,1,[0]
4867,0,2,3,1,0,0,1,0,0,0,0,1,[0]
1991,0,1,3,0,0,0,5,0,0,0,0,1,[0]
6004,0,1,1,0,1,0,4,0,0,0,0,1,[0]
5252,0,1,0,0,0,0,3,0,0,0,0,1,[0]
2377,0,1,1,0,0,1,2,0,0,0,0,1,[0]
2730,0,1,3,0,0,0,1,0,0,0,0,1,[0]
6554,0,1,3,1,0,1,1,0,0,0,0,1,[0]
6163,0,2,0,1,0,1,1,0,0,0,0,1,[0]
