,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,act,pred
4751,1,2,0,5,0,1,2,0,0,0,0,0,[0]
1652,0,2,2,0,0,1,2,0,0,0,0,0,[0]
119,1,1,1,0,0,0,4,0,0,0,0,0,[0]
2688,1,1,3,4,0,0,5,0,0,0,0,0,[0]
6500,0,1,1,0,0,1,7,0,0,0,0,0,[0]
1506,0,1,1,0,0,0,4,0,0,0,0,0,[0]
5592,0,2,3,5,0,0,1,0,0,0,0,0,[0]
1758,0,2,1,0,0,0,1,0,0,0,0,0,[0]
1718,0,1,3,0,0,1,3,0,0,0,0,0,[0]
5041,0,1,0,1,0,1,1,0,0,0,0,0,[0]
4629,0,2,0,0,0,0,3,0,0,0,0,0,[0]
3026,1,2,0,0,0,0,1,0,0,0,0,0,[0]
2740,0,2,1,0,0,1,1,0,0,0,0,0,[0]
4069,0,1,1,0,0,0,2,0,0,0,0,0,[0]
5821,0,1,2,1,0,1,4,0,0,0,0,0,[0]
5037,0,2,1,0,0,1,1,0,0,0,0,0,[0]
2694,0,2,1,1,0,0,1,0,0,0,0,0,[0]
3447,0,1,0,0,0,1,4,0,0,0,0,0,[0]
3243,0,1,0,0,0,1,4,0,0,0,0,0,[0]
4545,0,1,0,0,3,0,6,0,0,0,0,0,[0]
1282,0,2,0,1,0,0,4,0,0,0,0,0,[0]
2776,1,2,3,0,0,0,1,0,0,0,0,0,[0]
1321,0,1,1,0,0,1,3,0,0,0,0,0,[0]
4667,0,2,1,5,0,0,1,0,0,0,0,0,[0]
2692,1,2,2,1,0,1,1,0,0,0,0,0,[0]
3189,0,2,1,1,0,1,1,0,0,0,0,0,[0]
2785,1,1,1,0,0,0,10,0,0,0,0,0,[0]
2233,0,2,0,0,0,0,4,0,0,0,0,0,[0]
4489,0,1,0,0,0,1,4,0,0,0,0,0,[0]
5741,1,1,1,5,0,1,2,0,0,0,0,0,[0]
4953,0,1,3,1,0,0,1,0,0,0,0,0,[0]
1626,1,1,2,0,0,0,4,0,0,0,0,0,[0]
2847,1,2,1,0,0,0,1,0,0,0,0,0,[0]
5107,1,0,1,0,0,0,5,0,0,0,0,0,[0]
4312,1,1,0,0,0,0,4,0,0,0,0,0,[0]
1332,1,2,1,0,0,0,1,0,0,0,0,0,[0]
6351,1,2,2,5,0,1,1,0,0,0,0,0,[0]
6490,0,2,2,1,0,0,1,0,0,0,0,0,[0]
1550,0,1,0,0,0,1,1,0,0,0,0,0,[0]
3733,0,2,2,2,0,1,1,0,0,0,0,0,[0]
343,0,1,1,0,0,0,4,0,0,0,0,0,[0]
219,0,2,1,0,0,0,1,0,0,0,0,0,[0]
