,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,act,pred
1457,0,1,0,0,0,0,6,0,0,0,0,1,[1]
2975,0,1,0,0,2,0,9,0,0,2,0,1,[1]
2028,0,1,0,0,1,0,10,0,0,0,0,1,[1]
6210,0,1,1,0,0,1,4,0,0,0,0,1,[1]
6219,0,1,1,0,1,1,10,0,0,0,0,1,[1]
2971,0,1,0,0,0,0,5,0,0,0,0,1,[1]
1155,0,1,0,0,0,0,7,0,0,0,0,1,[1]
2742,0,1,0,0,0,0,9,0,0,0,0,1,[1]
6658,0,1,0,0,0,1,10,0,0,0,0,1,[1]
4591,0,1,0,0,3,0,10,0,0,0,0,1,[1]
4052,0,1,0,0,2,0,8,0,0,0,0,1,[1]
1502,0,1,2,0,0,0,6,0,0,0,0,1,[1]
6707,0,1,1,0,1,1,8,0,0,0,0,1,[1]
5577,1,1,1,0,0,0,2,0,0,0,0,1,[1]
413,0,1,1,0,0,0,8,0,0,0,0,1,[1]
3565,0,1,0,0,1,0,7,0,2,0,0,1,[1]
3404,0,1,3,1,0,1,4,0,0,0,0,1,[1]
3941,1,1,1,0,0,0,6,0,0,0,0,1,[1]
2361,0,2,0,0,2,1,10,0,0,0,0,1,[1]
1731,0,1,1,0,0,0,7,0,0,0,0,1,[1]
2608,0,0,0,0,0,0,10,0,0,0,0,1,[1]
3712,0,1,0,0,0,1,3,0,0,0,0,1,[1]
2879,0,1,0,0,0,0,7,0,0,0,0,1,[1]
5963,1,1,0,4,2,1,8,0,0,0,0,1,[1]
4214,0,2,0,0,0,0,8,0,0,0,0,1,[1]
5538,0,2,3,0,0,1,1,0,0,0,0,1,[1]
248,0,0,0,0,0,0,8,0,0,0,0,1,[1]
1681,0,1,0,1,0,0,9,0,0,0,0,1,[1]
5623,0,1,0,0,1,0,9,0,0,0,0,1,[1]
6243,1,1,0,0,0,0,6,0,0,0,0,1,[1]
1435,0,1,1,0,0,0,7,0,0,0,0,1,[1]
4691,1,1,0,0,1,0,7,0,0,0,0,1,[1]
3370,0,1,1,0,0,0,8,0,0,0,0,1,[1]
4226,0,1,0,0,1,0,9,0,0,0,0,1,[1]
761,0,1,1,0,0,0,5,0,0,0,0,1,[1]
1554,0,1,0,0,0,0,5,0,0,0,0,1,[1]
4525,0,1,0,0,0,0,6,0,0,0,0,1,[1]
6338,0,2,1,0,0,1,7,0,0,0,0,1,[1]
4583,0,2,0,0,2,0,5,0,0,0,0,1,[1]
5406,0,1,0,0,0,0,5,0,0,0,0,1,[1]
3982,0,1,0,0,0,1,7,0,0,0,0,1,[1]
313,0,2,1,0,4,0,6,0,0,0,0,1,[1]
4895,0,1,1,0,1,0,8,0,0,0,0,1,[1]
4668,1,1,0,0,0,1,7,0,0,0,0,1,[1]
3819,0,1,1,0,0,0,9,0,0,0,0,1,[1]
6398,0,1,0,0,1,0,7,0,0,0,0,1,[1]
2263,0,1,0,0,1,1,8,0,0,0,0,1,[1]
5327,0,1,0,0,0,1,9,0,0,0,0,1,[1]
1159,1,1,0,0,0,1,3,0,0,0,0,1,[1]
1971,0,1,0,4,0,0,5,0,0,0,0,1,[1]
3276,0,1,1,0,0,0,7,0,0,0,0,1,[1]
325,0,1,3,0,0,0,2,0,0,0,0,1,[1]
6545,0,2,0,0,1,1,4,0,0,0,0,1,[1]
2907,1,1,2,5,1,0,4,0,0,0,0,1,[1]
2702,0,1,0,0,1,1,7,0,0,0,0,1,[1]
3126,0,2,0,0,1,0,6,0,0,0,0,1,[1]
5605,0,1,3,0,0,0,8,0,0,0,0,1,[1]
2334,0,0,0,0,0,0,7,0,0,0,0,1,[1]
3990,0,1,1,1,0,0,7,0,0,0,0,1,[1]
5387,0,1,0,1,0,1,6,0,0,0,0,1,[1]
6828,0,1,0,0,1,1,6,0,0,0,0,1,[1]
6671,0,1,0,0,0,0,5,0,0,0,0,1,[1]
3953,0,0,1,0,0,0,6,0,0,0,0,1,[1]
5128,0,2,1,0,1,0,5,0,0,0,0,1,[1]
927,0,1,0,0,0,1,7,0,0,0,0,1,[1]
2470,0,1,0,0,0,0,10,0,0,0,0,1,[1]
1885,0,0,2,0,0,0,8,0,0,0,0,1,[1]
1163,0,1,0,0,0,0,6,0,0,0,0,1,[1]
2157,0,1,0,0,0,0,6,0,0,0,0,1,[1]
503,0,1,0,0,0,1,3,0,0,0,0,1,[1]
90,0,0,0,0,0,1,4,0,0,0,0,1,[1]
2036,0,3,1,0,1,0,1,0,0,0,0,1,[1]
2497,0,1,2,0,2,0,6,0,0,0,0,1,[1]
2181,0,1,1,0,0,0,5,0,0,0,0,1,[1]
6102,0,2,1,0,2,0,10,0,0,0,0,1,[1]
3196,0,1,0,0,1,0,9,0,1,0,0,1,[1]
1410,0,1,0,0,0,1,3,0,0,0,0,1,[1]
2520,0,1,0,0,1,0,8,0,0,0,0,1,[1]
324,0,1,0,0,0,0,6,0,0,0,0,1,[1]
2983,0,2,0,0,4,0,7,0,0,0,0,1,[1]
1794,1,1,0,0,0,1,3,0,0,0,0,1,[1]
3309,0,1,0,0,0,0,5,0,0,0,0,1,[1]
961,0,1,0,0,1,1,10,0,0,0,0,1,[1]
2064,1,0,3,0,0,1,5,0,0,0,0,1,[1]
447,0,1,0,2,1,0,7,0,0,0,0,1,[1]
5092,0,1,0,0,2,0,10,0,0,0,0,1,[1]
407,0,2,0,0,2,1,7,0,0,0,0,1,[1]
5790,0,1,1,2,0,0,6,0,0,0,0,1,[1]
1102,0,1,1,0,0,0,5,0,0,0,0,1,[1]
1404,0,1,0,0,1,0,10,0,0,0,0,1,[1]
3780,0,1,0,0,0,0,9,0,0,0,0,1,[1]
4621,0,1,0,0,0,0,7,0,0,0,0,1,[1]
3384,0,1,0,0,0,0,6,0,0,0,0,1,[1]
5654,0,1,1,0,0,0,5,0,0,0,0,1,[1]
5398,0,1,0,0,0,0,8,0,0,0,0,1,[1]
1528,0,1,0,0,0,0,5,0,0,0,0,1,[1]
3492,0,1,0,0,0,0,10,0,0,0,0,1,[1]
6807,0,1,0,0,0,0,4,0,0,0,0,1,[1]
3636,0,1,0,0,0,0,7,0,0,0,0,1,[1]
3207,0,1,2,0,0,0,5,0,0,0,0,1,[1]
2328,0,2,1,0,0,0,8,0,0,0,0,1,[1]
975,0,1,0,0,2,0,5,0,0,0,0,1,[1]
3939,0,1,0,0,0,0,9,0,0,0,0,1,[1]
4351,0,1,0,0,0,0,5,0,0,0,0,1,[1]
354,0,1,1,0,0,1,6,0,0,0,0,1,[1]
5866,0,2,0,0,1,0,3,0,0,0,0,1,[1]
115,0,1,0,0,2,0,10,0,0,0,0,1,[1]
1817,0,1,0,0,1,0,7,0,0,0,0,1,[1]
6090,0,1,0,0,0,0,4,0,0,0,0,1,[1]
1064,0,1,0,0,0,1,3,0,0,0,0,1,[1]
3338,0,2,1,0,0,0,6,0,0,0,0,1,[1]
1851,0,0,1,0,0,0,5,0,0,0,0,1,[1]
3936,0,1,2,0,0,0,5,0,0,0,0,1,[1]
3376,0,1,0,0,0,0,7,0,0,0,0,1,[1]
2812,0,1,1,0,0,0,8,0,0,0,0,1,[1]
6376,0,1,0,0,0,0,8,0,0,0,0,1,[1]
4654,0,1,0,0,1,1,8,0,0,0,0,1,[1]
2292,0,1,0,0,0,0,8,0,0,0,0,1,[1]
573,0,2,0,0,2,0,5,0,0,0,0,1,[1]
5241,0,2,0,0,2,0,8,0,0,0,0,1,[1]
3986,0,1,0,0,0,0,6,0,0,0,0,1,[1]
4873,1,1,1,5,1,0,7,0,0,0,0,1,[1]
5390,0,1,0,0,0,0,4,0,0,0,0,1,[1]
5562,1,1,3,0,0,0,6,0,0,0,0,1,[1]
6455,1,1,1,0,0,0,6,0,0,0,0,1,[1]
6429,0,1,0,0,0,1,8,0,0,0,0,1,[1]
2159,0,1,0,0,3,0,10,0,0,0,0,1,[1]
1392,0,1,0,0,1,1,9,0,0,1,0,1,[1]
2420,0,1,0,0,0,0,7,0,0,0,0,1,[1]
2366,0,2,0,0,0,0,5,0,0,0,0,1,[1]
4993,0,1,1,0,1,0,8,0,0,0,0,1,[1]
1117,0,1,0,0,1,0,8,0,0,0,0,1,[1]
5607,0,0,3,0,0,0,9,0,0,0,0,1,[1]
3228,0,1,2,0,1,0,7,0,0,0,0,1,[1]
545,0,1,0,0,1,0,7,0,0,0,0,1,[1]
6846,0,1,0,0,0,0,8,0,0,0,0,1,[1]
6587,0,1,0,0,1,1,9,0,0,0,0,1,[1]
4696,1,0,0,0,0,0,6,0,0,0,0,1,[1]
6281,0,1,0,0,1,1,4,0,0,0,0,1,[1]
623,0,1,0,0,0,0,4,0,0,0,0,1,[1]
5758,0,1,0,0,2,0,9,0,0,0,0,1,[1]
1122,0,1,0,0,0,0,7,0,0,0,0,1,[1]
4889,0,1,0,0,0,0,8,0,0,0,0,1,[1]
5930,0,0,0,0,0,0,5,0,0,0,0,1,[1]
6646,0,1,0,0,0,0,5,0,0,0,0,1,[1]
2632,0,1,0,0,1,0,6,0,0,0,0,1,[1]
2897,0,1,0,0,0,0,8,0,0,0,0,1,[1]
5555,0,0,0,0,0,0,4,0,0,0,0,1,[1]
929,0,1,0,4,0,1,2,0,0,0,0,1,[1]
6096,0,1,0,0,0,0,10,0,0,0,0,1,[1]
5022,1,0,1,0,0,0,10,0,0,0,0,1,[1]
3810,0,2,0,5,3,0,5,0,0,0,0,1,[1]
4158,0,1,0,0,0,1,8,0,0,0,0,1,[1]
5334,0,1,0,0,0,1,3,0,0,0,0,1,[1]
1309,0,1,0,0,0,0,4,0,0,0,0,1,[1]
6366,0,2,0,0,1,0,6,0,0,0,0,1,[1]
448,1,1,0,0,0,0,9,0,0,0,0,1,[1]
4853,0,1,0,1,0,0,3,0,0,0,0,1,[1]
1271,0,1,1,0,0,0,7,0,0,0,0,1,[1]
2215,0,0,0,0,0,0,10,0,0,0,0,1,[1]
1316,0,0,0,0,0,0,9,0,0,0,0,1,[1]
3066,0,1,1,0,1,0,8,0,0,0,0,1,[1]
3588,0,1,1,0,1,0,6,0,0,0,0,1,[1]
4277,0,2,0,0,1,0,3,0,0,0,0,1,[1]
4474,0,1,0,0,0,1,3,0,0,0,0,1,[1]
2459,0,2,3,0,0,0,5,0,0,0,0,1,[1]
5176,0,1,0,0,0,0,7,0,0,0,0,1,[1]
4506,0,1,0,0,0,0,8,0,0,0,0,1,[1]
3555,0,1,0,0,2,0,9,0,0,0,0,1,[1]
1929,0,1,0,1,1,1,10,0,0,0,0,1,[1]
3514,0,1,0,0,0,0,8,0,0,0,0,1,[1]
