,Unnamed: 0,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,is_recid,is_violent_recid
2069,2069,1,1,0,0,0,1,2,0,0,0,0,0,0
80,80,1,1,0,0,0,1,2,0,0,0,0,0,0
2071,2071,0,1,0,0,0,0,2,0,0,0,0,0,0
6640,6640,0,1,0,0,0,0,6,0,0,0,0,1,0
1670,1670,0,1,0,0,0,0,3,0,0,0,0,0,0
2759,2759,0,1,1,0,1,0,10,0,0,0,0,1,0
4685,4685,0,3,0,0,0,1,4,0,0,0,0,0,0
2503,2503,0,2,2,0,0,0,2,0,0,0,0,0,0
674,674,1,2,1,0,1,0,3,0,0,0,0,1,0
136,136,0,1,0,0,1,0,6,0,0,0,0,1,1
5354,5354,1,2,1,0,0,0,1,0,0,0,0,0,0
6603,6603,1,1,0,0,1,1,6,0,0,0,0,1,0
6201,6201,0,1,2,0,1,1,8,0,0,0,0,1,0
4116,4116,0,3,1,5,0,0,1,1,0,0,0,0,0
3744,3744,0,1,1,4,0,0,1,0,0,0,0,0,0
1880,1880,0,2,1,0,0,0,1,0,0,0,0,1,0
6072,6072,1,1,3,0,0,0,7,0,0,0,0,1,0
4131,4131,0,1,1,0,0,0,4,0,0,0,0,1,0
5467,5467,1,1,1,0,0,0,6,0,0,0,0,1,0
680,680,0,2,0,1,0,1,1,0,0,0,0,0,0
1656,1656,0,1,1,0,0,0,6,0,0,0,0,1,1
2153,2153,0,1,1,0,0,0,5,0,0,0,0,1,0
4980,4980,0,2,1,0,0,1,2,0,0,0,0,0,0
629,629,0,1,0,0,0,0,7,0,0,0,0,0,0
6680,6680,1,2,3,2,0,0,1,0,0,0,0,0,0
458,458,0,1,1,0,0,0,6,0,0,0,0,1,0
880,880,0,1,1,0,0,0,3,0,0,0,0,0,0
2260,2260,0,1,0,0,0,0,1,0,0,0,0,0,0
2750,2750,0,2,1,0,2,1,2,0,0,0,0,1,0
4145,4145,0,2,2,5,0,1,1,1,0,0,0,0,0
2861,2861,1,1,0,0,0,0,5,0,0,0,0,1,1
6733,6733,1,1,0,5,0,0,2,0,0,0,0,0,0
5979,5979,1,1,0,4,0,1,4,0,0,0,0,0,0
5455,5455,0,2,1,0,0,0,1,0,0,0,0,1,0
4948,4948,0,2,0,0,1,0,9,0,0,0,0,1,0
4819,4819,1,1,3,1,0,1,1,0,0,0,0,0,0
1072,1072,0,1,1,0,0,1,2,0,0,0,0,1,0
667,667,0,1,0,0,0,1,4,0,0,0,0,0,0
2211,2211,0,1,0,0,0,0,7,0,0,0,0,1,1
5796,5796,0,1,0,0,0,0,7,0,0,0,0,1,1
589,589,0,1,2,0,0,0,5,0,0,0,0,1,1
1653,1653,0,1,0,0,1,0,6,0,0,0,0,1,0
2397,2397,0,1,1,0,1,1,4,0,0,0,0,1,1
4252,4252,1,1,1,0,0,1,1,0,0,0,0,0,0
1735,1735,1,2,2,0,0,0,1,0,0,0,0,0,0
728,728,1,1,0,0,0,0,2,0,0,0,0,0,0
5259,5259,0,1,0,0,0,0,4,0,0,0,0,0,0
6049,6049,0,1,0,1,0,0,8,0,0,0,0,0,0
1905,1905,0,2,0,2,0,0,10,0,0,0,0,1,0
2621,2621,0,1,1,0,0,0,3,0,0,0,0,0,0
5620,5620,0,1,2,5,0,1,1,0,0,0,0,0,0
3142,3142,0,1,0,0,1,0,9,0,0,0,0,1,0
6202,6202,0,1,0,0,0,0,9,0,0,0,0,1,0
2099,2099,1,1,1,0,0,0,3,0,0,0,0,0,0
