age_binary,sex_binary,race_C,juv_fel_count_C,decile_score_C,juv_misd_count_C,juv_other_count_C,priors_count_C,days_b_screening_arrest_C,c_days_from_compas_C,c_charge_degree_C,v_decile_score_C,start_C,end_C,event_C,MarriageStatus_C,Violence_score,Recidivism_score,is_recid
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.31,-2.78,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3.07,-0.76,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.31,0.44,1
0,0,0,0,1,0,0,0,2,0,0,1,0,2,0,0,-1.59,0.16,0
1,0,2,0,0,0,0,0,2,0,0,0,0,2,0,1,-3.23,-2.2,0
1,0,2,0,0,0,0,0,1,0,1,0,0,2,0,2,-3.3,-1.93,0
1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,-2.89,-0.16,1
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.44,-0.72,0
0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,-1.84,-0.79,1
0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-2.12,-0.69,0
1,1,1,0,0,0,0,0,1,0,1,0,0,2,0,1,-3.14,-1.67,0
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-2.85,-0.73,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-3.61,-1.82,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-2.82,-0.96,1
1,0,2,0,0,0,0,0,1,0,1,0,0,1,0,3,-3.43,-2.0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-0.84,0.89,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.22,-0.4,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.7,-0.87,1
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,-2.3,-0.15,1
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.44,0.36,1
0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,-2.55,-1.14,1
0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-2.05,-0.71,0
0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,-1.8,-0.71,1
1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2,-2.92,-1.68,0
0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,-2.2,-0.83,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.75,-0.43,1
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.11,-1.23,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.27,0.07,1
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-1.67,0.82,1
0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,-0.21,0.56,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-2.3,0.25,1
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-4.21,-2.56,0
1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.81,-0.82,1
0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,-1.16,0.09,0
0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-2.67,-0.73,1
0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,4,-2.49,-1.23,1
0,0,0,0,1,0,0,2,1,0,0,1,0,1,1,0,-1.55,0.32,1
0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,-2.62,-1.08,0
0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-1.16,0.03,0
1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,-3.6,-1.77,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,-2.86,-1.43,1
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-2.82,-1.32,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,-2.8,-0.06,1
0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,-0.77,1.07,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,-2.54,0.1,1
1,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,-3.94,-2.43,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-2.64,-0.94,1
0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,-2.41,-0.59,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.86,-1.22,1
0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,-2.71,-1.45,0
1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,5,-4.23,-2.51,0
0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,-1.45,-0.43,1
0,0,2,0,1,0,0,0,1,0,1,0,0,2,0,0,-2.36,-0.01,0
1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,-3.38,-2.05,0
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-2.93,-0.51,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,-2.94,-0.93,0
1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,-1.91,0.01,1
0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,-0.9,0.69,1
1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-2.7,-1.11,1
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.65,0.84,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.55,0.16,1
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,-2.04,-0.33,1
0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,-3.24,-1.88,0
1,1,0,0,0,0,0,0,1,0,1,0,0,2,0,6,-4.15,-2.57,0
1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,-3.62,-1.97,1
1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,-2.87,-0.63,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,-2.48,-0.26,1
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2.31,-0.22,1
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-3.27,-1.21,0
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.56,0.09,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.32,-0.98,1
0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.2,-0.06,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,-3.05,-1.36,0
1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,-2.81,-1.02,0
0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,-0.8,0.67,1
1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,-2.84,-1.64,1
0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,-0.25,0.73,1
0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,-1.21,-0.33,1
0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,-1.15,0.34,1
0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,-1.25,0.14,1
0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,-2.95,-1.53,0
1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,-1.54,0.03,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,-2.15,0.15,1
0,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,-1.5,-0.21,1
0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,-0.91,0.21,1
1,0,0,0,1,0,0,1,2,0,1,0,0,2,0,0,-2.51,0.06,0
0,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0,-1.22,-0.23,0
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-3.95,-2.07,0
1,1,1,0,0,0,0,0,1,0,1,0,0,2,0,0,-4.05,-1.86,0
1,1,2,0,0,0,0,0,0,0,1,0,0,2,0,1,-3.71,-2.2,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-1.45,-0.72,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.25,-1.16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-2.64,-1.09,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-3.41,-1.94,1
0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.52,-0.15,1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.58,-0.66,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-2.68,-0.51,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28,-0.96,0
1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,-2.18,0.54,1
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-3.34,-1.47,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.03,0.64,1
1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-2.16,-0.72,1
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-1.9,-0.34,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,-2.63,-0.37,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-3.3,-1.31,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,-2.7,-0.86,1
1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,-1.36,0.53,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1.49,-0.58,1
0,0,0,0,1,2,0,2,0,0,0,0,0,0,1,6,-1.88,0.28,1
0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,-1.2,-0.03,0
0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.85,-1.52,0
0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,-1.45,0.71,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-2.12,0.34,1
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-2.4,0.43,0
1,0,1,0,1,0,0,0,0,0,1,1,0,2,0,0,-1.73,0.39,0
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-1.44,1.08,1
1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,-4.36,-2.36,0
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.22,-0.25,1
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-3.39,-0.86,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.83,-0.82,0
0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,-2.9,-1.29,0
0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,-2.7,-1.39,0
1,1,2,0,0,0,0,0,0,0,1,0,0,2,0,1,-3.35,-1.32,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.5,-1.11,1
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-2.49,-1.45,0
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-2.66,-0.86,1
1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,-2.95,-1.14,1
0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.91,-0.77,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-2.51,-0.06,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-2.54,-1.0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,-2.29,-1.28,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-3.4,-1.13,1
1,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,-2.48,-0.88,0
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.61,0.91,0
1,1,1,0,0,0,0,0,1,0,1,0,0,2,0,1,-3.71,-2.13,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.98,0.21,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,-1.86,-0.25,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-2.65,-0.48,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.93,-1.29,1
0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,-0.83,0.51,1
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.03,0.56,1
0,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,-1.25,-0.48,0
0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,-2.46,-0.57,0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,-3.76,-1.68,1
1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,1,-1.73,-0.06,1
1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-3.8,-2.07,0
0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,-0.65,0.57,1
0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,-1.99,-0.53,0
1,1,2,0,0,0,0,0,2,0,0,0,0,2,0,1,-3.46,-1.64,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-2.17,-0.98,1
1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-2.11,-0.74,0
0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,-2.06,-0.29,1
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-1.19,0.06,0
1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,-3.29,-1.3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.07,-1.1,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-3.08,-1.56,1
1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,-2.89,-0.57,0
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-2.07,-0.45,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-2.28,-1.07,1
0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,-1.74,-0.85,0
0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,-2.5,-0.19,0
1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,-3.98,-2.06,0
1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,-3.07,-0.64,0
1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-2.22,0.51,0
