juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,v_decile_score,priors_count_C,start,end,event,two_year_recid,Violence_score,Recidivism_score,MarriageStatus,age_binary,age_bucketized,sex_binary,race_C,score,rank
0,1,0,0,0,-1.0,1.0,F,0,0,1,0,0,327,0,0,-4.31,-2.78,Single,1,1,0,2,0.5565835112097616,1677.0
0,3,0,0,0,-1.0,1.0,F,1,1,1,0,9,159,1,1,-3.07,-0.76,Single,0,0,0,0,0.4245360201138921,786.0
0,4,0,1,4,-1.0,1.0,F,1,0,3,4,0,63,0,1,-1.31,0.44,Single,0,0,0,0,0.4980732339294166,1303.0
0,8,1,0,1,,1.0,F,0,0,6,1,0,1174,0,0,-1.59,0.16,Single,0,0,0,0,,6596.0
0,1,0,0,2,,76.0,F,0,0,1,2,0,1102,0,0,-3.23,-2.2,Married,1,1,0,2,,6597.0
0,1,0,0,0,0.0,0.0,M,0,0,1,0,1,853,0,0,-3.3,-1.93,Separated,1,1,0,2,1.0017327156293423,4085.0
0,6,0,0,14,-1.0,1.0,F,1,0,2,14,5,40,1,1,-2.89,-0.16,Single,1,1,0,1,0.6883508611808098,2499.0
0,4,0,0,3,-1.0,1.0,F,0,0,3,3,0,265,0,0,-2.44,-0.72,Married,1,1,0,2,0.5832543197657215,1843.0
0,3,0,0,1,428.0,308.0,F,1,1,5,1,0,428,1,1,-1.84,-0.79,Single,0,0,0,1,0.9920647394062909,3996.0
0,4,0,0,0,-1.0,1.0,F,0,0,4,0,0,857,0,0,-2.12,-0.69,Single,0,0,0,1,1.003463781024264,4091.0
0,1,0,0,0,0.0,0.0,M,0,0,1,0,1,1186,0,0,-3.14,-1.67,Married,1,1,1,1,1.2825084323241147,6064.0
0,4,0,0,0,-1.0,1.0,F,0,0,2,0,0,905,0,0,-2.85,-0.73,Single,1,1,0,0,1.0439359564036907,4396.0
0,1,0,0,1,-20.0,490.0,F,1,0,1,1,0,216,1,1,-3.61,-1.82,Single,1,1,1,1,0.5279460986853184,1495.0
0,3,0,0,7,22.0,71.0,F,1,0,2,7,0,22,1,1,-2.82,-0.96,Single,0,0,0,0,0.5066427856286817,1353.0
0,1,0,0,0,0.0,0.0,M,0,0,1,0,0,739,0,0,-3.43,-2.0,Unknown,1,1,0,2,0.9045440632440792,3333.0
0,10,0,0,3,-1.0,1.0,F,0,0,9,3,0,463,0,0,-0.84,0.89,Single,0,0,0,0,0.7502020432058564,2768.0
0,5,0,0,6,-1.0,1.0,F,1,1,4,6,0,241,1,1,-2.22,-0.4,Single,0,0,0,1,0.6419656004970608,2257.0
0,3,0,0,5,-1.0,1.0,F,1,0,2,5,0,163,1,1,-2.7,-0.87,Single,0,0,0,1,0.5498825260318082,1630.0
0,6,0,0,13,-1.0,1.0,F,1,0,3,13,0,1,1,1,-2.3,-0.15,Separated,1,1,0,0,0.623815249915717,2139.0
0,9,0,0,1,-1.0,1.0,F,1,0,9,1,2,30,1,1,-1.44,0.36,Single,0,0,0,0,0.3346121872414931,179.0
0,2,0,0,0,0.0,0.0,M,1,0,3,0,0,81,1,1,-2.55,-1.14,Single,0,0,0,1,0.34973799241777226,264.0
0,4,0,0,0,-2.0,2.0,F,0,0,5,0,0,861,0,0,-2.05,-0.71,Single,0,0,1,1,1.0062620822783108,4110.0
0,4,0,0,1,0.0,1.0,F,1,0,5,1,1,411,1,1,-1.8,-0.71,Single,0,0,0,2,0.6554726531098644,2341.0
0,1,0,0,1,-1.0,1.0,M,0,0,2,1,0,1162,0,0,-2.92,-1.68,Separated,1,1,0,1,1.2869465182213886,6090.0
0,3,0,0,0,-1.0,1.0,M,0,0,4,0,1,1056,0,0,-2.2,-0.83,Single,0,0,0,2,1.1723219106439289,5238.0
0,3,0,0,8,-1.0,1.0,F,1,1,3,8,16,116,0,1,-2.75,-0.43,Single,0,0,0,0,0.6062766631398369,2032.0
0,3,0,0,3,53.0,95.0,F,0,0,1,3,0,53,0,0,-3.11,-1.23,Single,1,1,1,1,0.4511223179360965,973.0
0,7,0,1,5,-1.0,1.0,F,1,0,7,5,0,391,0,1,-1.27,0.07,Single,0,0,0,0,0.8009488884958494,2960.0
0,10,0,0,0,0.0,1.0,F,1,1,6,0,38,215,0,1,-1.67,0.82,Single,0,0,0,0,0.5033832076244747,1331.0
0,9,0,0,9,0.0,0.0,F,1,0,10,9,44,162,1,1,-0.21,0.56,Single,0,0,0,1,0.7018352714352067,2552.0
0,8,0,0,4,-1.0,1.0,F,1,0,3,4,0,6,1,1,-2.3,0.25,Single,0,0,0,0,0.3911889962545828,536.0
0,1,0,0,0,-1.0,1.0,F,0,0,1,0,1,823,0,0,-4.21,-2.56,Single,1,1,0,1,0.9758632259896284,3863.0
0,3,0,0,7,-1.0,0.0,F,1,0,2,7,3,502,0,1,-2.81,-0.82,Single,1,1,0,2,0.8914451215480271,3269.0
0,8,0,2,6,81.0,382.0,M,0,0,8,6,0,81,0,0,-1.16,0.09,Single,0,0,0,1,0.7206184870273546,2644.0
0,5,0,0,4,-1.0,1.0,M,1,0,2,4,10,223,1,1,-2.67,-0.73,Single,0,0,1,1,0.584829314373656,1858.0
0,2,0,0,1,0.0,0.0,M,1,0,3,1,1,240,1,1,-2.49,-1.23,Significant Other,0,0,0,1,0.5111850986949321,1376.0
2,9,1,3,21,0.0,0.0,F,1,0,6,21,33,514,1,1,-1.55,0.32,Single,0,0,0,0,1.4791516916868002,6451.0
0,2,0,0,0,0.0,1.0,M,0,0,2,0,0,1171,0,0,-2.62,-1.08,Single,0,0,0,1,1.2688990712846435,5951.0
0,8,0,0,2,-1.0,1.0,F,0,0,8,2,79,524,0,0,-1.16,0.03,Single,0,0,1,0,0.8596312761477247,3164.0
0,1,0,0,2,-1.0,1.0,M,0,0,1,2,0,1128,0,0,-3.6,-1.77,Single,1,1,0,0,1.284594516801312,6076.0
0,2,0,0,2,-1.0,1.0,M,1,0,2,2,0,72,1,1,-2.86,-1.43,Married,0,0,0,1,0.3942066584539259,558.0
0,2,0,0,7,-1.0,1.0,F,0,0,2,7,1,529,0,0,-2.82,-1.32,Separated,1,1,1,0,0.9121816781064296,3384.0
0,7,0,0,0,0.0,0.0,F,1,0,2,0,0,61,1,1,-2.8,-0.06,Single,0,0,0,0,0.33287458600967784,170.0
0,10,0,0,9,-1.0,1.0,M,1,1,9,9,6,8,1,1,-0.77,1.07,Single,0,0,0,1,0.5308576994185624,1519.0
1,8,0,4,13,-1.0,1.0,F,1,1,3,13,0,9,1,1,-2.54,0.1,Significant Other,0,0,0,0,0.8658547301260135,3180.0
0,1,0,0,0,0.0,0.0,M,0,0,1,0,0,973,0,0,-3.94,-2.43,Married,1,1,0,1,1.101845918218784,4867.0
0,3,0,0,4,-59.0,59.0,M,1,0,2,4,0,257,1,1,-2.64,-0.94,Single,0,0,0,0,0.5695107050769774,1756.0
0,4,0,0,0,0.0,1.0,F,0,0,3,0,0,1073,0,0,-2.41,-0.59,Significant Other,0,0,0,0,1.1862683798849811,5349.0
0,2,0,0,1,-24.0,24.0,F,1,0,2,1,0,441,0,1,-2.86,-1.22,Single,0,0,0,1,0.6658099765754223,2401.0
0,2,0,0,0,-1.0,1.0,F,0,0,2,0,0,865,0,0,-2.71,-1.45,Single,0,0,1,2,1.0102091435875018,4145.0
0,1,0,0,1,-219.0,219.0,F,0,0,1,1,0,800,0,0,-4.23,-2.51,Widowed,1,1,1,2,0.8565040162241291,3151.0
0,5,0,1,15,-1.0,1.0,F,1,0,7,15,135,1077,1,0,-1.45,-0.43,Single,0,0,0,0,1.7865984640121884,6568.0
0,7,0,0,0,0.0,0.0,M,0,0,3,0,23,1167,0,0,-2.36,-0.01,Single,0,0,0,2,1.2899673851371722,6107.0
0,1,0,0,4,-1.0,1.0,M,0,0,1,4,0,948,0,0,-3.38,-2.05,Married,1,1,0,0,1.1854554380758304,5341.0
0,5,0,0,8,-13.0,13.0,F,0,0,2,8,0,1039,0,0,-2.93,-0.51,Single,1,1,0,1,1.36055453479653,6308.0
0,3,0,0,5,-1.0,1.0,F,0,0,2,5,0,1145,0,0,-2.94,-0.93,Significant Other,0,0,0,0,1.3778757806692452,6345.0
0,7,0,0,10,-38.0,906.0,M,1,0,5,10,0,44,1,1,-1.91,0.01,Single,1,1,0,0,0.6513850593810455,2307.0
1,10,1,2,15,-1.0,1.0,F,1,0,9,15,0,44,1,1,-0.9,0.69,Single,0,0,0,0,0.8303502114640179,3075.0
0,2,0,0,4,-1.0,1.0,M,1,0,2,4,1,272,1,1,-2.7,-1.11,Single,1,1,0,1,0.6165395373413636,2093.0
0,10,1,2,2,70.0,114.0,F,1,0,9,2,0,70,0,1,-0.65,0.84,Single,0,0,0,0,0.570347409727644,1762.0
0,9,0,0,4,-1.0,1.0,F,1,0,5,4,18,69,0,1,-1.55,0.16,Single,0,0,0,0,0.4635189719043278,1054.0
0,6,1,0,6,0.0,0.0,F,1,0,3,6,30,193,1,1,-2.04,-0.33,Single,0,0,0,0,0.6340848809189523,2200.0
0,1,0,0,0,-1.0,1.0,M,0,0,1,0,0,754,0,0,-3.24,-1.88,Single,0,0,0,2,0.9166172380225776,3412.0
0,1,0,0,0,0.0,1.0,M,0,0,1,0,3,916,0,0,-4.15,-2.57,Divorced,1,1,1,0,1.0570923471588145,4506.0
0,1,0,0,6,-1.0,1.0,F,1,1,1,6,241,323,1,1,-3.62,-1.97,Single,1,1,0,2,0.9683094088193408,3805.0
0,4,0,0,1,-1.0,1.0,M,0,0,2,1,4,1121,0,0,-2.87,-0.63,Single,1,1,0,0,1.2566454785212944,5860.0
0,6,0,0,5,0.0,0.0,F,1,0,3,5,1,253,1,1,-2.48,-0.26,Single,0,0,0,0,0.6274094707549304,2166.0
0,6,0,1,1,-1.0,1.0,F,1,0,3,1,13,273,0,1,-2.31,-0.22,Single,0,0,0,1,0.6100656989619787,2058.0
0,2,0,0,2,-15.0,15.0,F,0,0,1,2,0,989,0,0,-3.27,-1.21,Single,1,1,0,0,1.1593525218790444,5152.0
0,8,0,0,0,-1.0,1.0,F,0,0,6,0,57,73,0,0,-1.56,0.09,Single,0,0,0,1,0.4032506937970797,626.0
0,4,0,0,1,-1.0,1.0,F,1,1,3,1,1,11,1,1,-2.32,-0.98,Single,0,0,1,0,0.31752471529467863,100.0
0,7,0,0,1,-43.0,44.0,F,1,1,8,1,0,258,1,1,-1.2,-0.06,Single,0,0,0,1,0.5007020170432104,1316.0
0,2,0,0,0,-1.0,1.0,F,0,0,1,0,0,1124,0,0,-3.05,-1.36,Significant Other,0,0,0,0,1.2285902565723248,5631.0
0,2,0,0,1,-1.0,5185.0,M,0,0,2,1,1,1128,0,0,-2.81,-1.02,Single,1,1,0,0,1.8058931429442648,6573.0
0,10,0,0,8,-1.0,1.0,M,1,1,9,8,0,55,1,1,-0.8,0.67,Single,0,0,0,0,0.537767499849151,1564.0
0,1,0,0,0,-1.0,1.0,F,1,0,2,0,0,182,1,1,-2.84,-1.64,Married,1,1,0,2,0.43432381475107695,855.0
1,10,6,1,14,-1.0,1.0,F,1,1,10,14,6,100,1,1,-0.25,0.73,Single,0,0,0,0,0.7988318456759825,2947.0
0,5,0,0,0,-1.0,1.0,F,1,1,8,0,0,119,1,1,-1.21,-0.33,Single,0,0,0,2,0.38120408456557947,473.0
1,9,0,0,2,0.0,0.0,F,1,0,10,2,30,175,1,1,-1.15,0.34,Single,0,0,0,0,0.5136446572569306,1389.0
0,7,0,1,2,137.0,192.0,M,1,0,8,2,0,137,0,1,-1.25,0.14,Single,0,0,0,0,0.6217870493604365,2126.0
0,2,0,0,1,-1.0,1.0,M,0,0,1,1,0,1098,0,0,-2.95,-1.53,Single,0,0,1,0,1.2329836177154865,5678.0
0,7,0,0,9,0.0,1.0,F,1,0,6,9,4,27,1,1,-1.54,0.03,Single,1,1,0,0,0.5454232734412995,1606.0
0,8,0,0,7,0.0,1.0,F,1,0,4,7,0,377,1,1,-2.15,0.15,Single,0,0,0,1,0.7836323631990842,2896.0
0,6,0,0,1,0.0,1.0,F,1,0,6,1,4,253,1,1,-1.5,-0.21,Single,0,0,0,2,0.5254534500632929,1471.0
0,8,0,0,9,-1.0,1.0,F,1,1,9,9,0,145,1,1,-0.91,0.21,Single,0,0,0,1,0.6399686181592601,2243.0
0,7,0,0,12,,804.0,M,0,0,3,12,0,1183,0,0,-2.51,0.06,Single,1,1,0,0,,6598.0
0,7,0,0,0,-1.0,1.0,F,0,0,8,0,0,869,0,0,-1.22,-0.23,Single,0,0,1,1,1.0135818248691209,4172.0
0,1,0,0,3,-64.0,64.0,F,0,0,1,3,0,877,0,0,-3.95,-2.07,Single,1,1,0,1,1.0630886141163596,4548.0
