,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,act,pred
13012,0,1,3,1,1,1,5,4,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
5065,1,2,1,1,0,3,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
343,0,1,1,1,0,2,2,1,2,2,1,2,1,0,1,0,1,1,0,0,0,1,0,0,[1]
10212,0,1,3,1,1,4,4,4,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
1759,0,1,2,2,0,3,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
19289,2,2,1,1,1,1,1,1,4,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
23409,1,2,6,1,1,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
24322,1,1,3,1,1,2,2,2,2,2,2,2,1,0,2,0,1,1,0,0,0,0,2,0,[1]
11008,0,1,1,1,1,3,4,4,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
9530,0,2,1,1,0,1,1,0,1,1,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
4265,2,2,1,2,0,1,2,2,2,2,2,2,1,0,2,1,1,1,0,0,0,0,0,0,[1]
13374,1,2,1,1,0,4,2,2,2,2,2,1,0,0,2,0,1,1,0,0,0,0,0,0,[1]
23833,0,2,3,1,1,4,5,4,4,4,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
27497,2,1,3,1,1,1,4,4,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,[1]
11600,0,1,3,2,0,1,1,1,2,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
17767,1,2,3,2,1,2,2,2,2,2,2,1,1,0,2,0,1,2,0,0,0,0,0,0,[1]
26521,0,2,3,1,1,1,1,1,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
14819,1,1,2,2,0,2,2,4,2,2,2,2,1,0,2,1,1,1,0,0,0,0,0,0,[1]
1300,0,1,3,2,0,5,4,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
21351,1,1,3,1,2,2,2,2,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
