,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,act,pred
25275,0,2,2,2,0,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,1,[0]
17087,0,2,1,2,0,2,2,4,4,5,4,1,0,0,1,0,1,1,0,0,0,0,0,1,[0]
4578,0,2,2,2,0,1,4,1,1,2,2,1,0,0,1,0,1,1,0,0,0,0,0,1,[0]
41141,4,1,4,2,1,7,6,2,10,2,2,4,4,0,5,1,0,4,0,3,0,1,4,1,[0]
835,0,2,3,2,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,[0]
41465,4,1,6,2,2,0,4,4,6,10,0,3,0,0,5,0,1,2,3,3,1,2,3,1,[0]
15984,1,2,2,2,1,2,2,2,2,2,2,2,1,0,2,0,1,1,0,0,0,0,0,1,[0]
391,1,2,2,1,0,3,1,2,2,2,2,0,0,0,1,0,1,1,0,0,0,0,0,1,[0]
33933,0,1,2,3,0,3,8,1,10,8,2,5,3,0,0,2,2,2,2,0,0,2,4,1,[0]
29001,0,2,3,2,0,2,2,2,4,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,[0]
34750,3,1,3,3,2,8,10,3,9,10,5,2,2,0,0,1,2,4,2,2,1,1,3,1,[0]
1212,1,2,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,[0]
33571,1,2,6,2,0,6,3,8,5,9,4,0,0,1,4,3,0,3,3,3,1,0,1,1,[0]
33574,2,2,2,1,0,5,3,4,0,5,9,3,0,0,0,0,0,4,0,0,1,0,4,1,[0]
14812,0,2,2,1,1,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,1,[0]
20000,1,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,[0]
32625,0,1,2,1,2,9,2,6,0,7,1,2,0,2,2,3,0,2,1,3,2,2,2,1,[0]
38407,3,2,5,2,2,3,6,2,1,1,5,2,4,2,1,2,0,1,3,3,0,2,3,1,[0]
12465,1,1,3,1,1,3,4,4,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,[0]
13956,0,2,3,1,1,2,2,2,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,1,[0]
35253,0,2,5,3,2,10,3,10,10,6,8,4,2,1,1,4,3,4,0,1,0,0,1,1,[0]
