,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,act,pred
44157,3,2,5,3,0,6,4,5,3,2,5,4,4,0,2,4,0,3,0,0,0,1,3,1,[1]
35513,4,1,5,2,1,4,3,10,4,6,2,0,0,2,1,1,3,3,0,2,2,3,2,1,[1]
43099,3,2,6,2,0,0,1,9,7,9,9,4,0,1,3,0,0,4,1,1,0,3,1,1,[1]
31814,0,1,1,0,2,8,9,0,3,6,1,1,4,0,1,4,2,3,3,3,2,2,1,1,[1]
41116,4,2,3,0,2,2,1,8,6,3,3,3,1,0,4,1,1,1,1,3,0,3,4,1,[1]
35175,4,2,2,0,0,7,0,8,0,10,5,1,4,2,3,3,3,3,3,3,1,2,1,1,[1]
15060,0,1,3,1,0,4,2,2,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
39221,1,1,2,1,1,7,1,3,6,1,0,0,1,0,0,4,0,1,1,3,2,2,4,1,[1]
35772,0,2,2,1,1,7,9,8,6,2,7,2,1,1,4,0,2,1,1,2,0,3,2,1,[1]
12281,0,1,1,1,0,4,2,2,2,4,2,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
32698,0,2,1,0,0,8,7,8,3,9,10,1,2,0,3,3,3,4,2,2,2,2,0,1,[1]
30765,4,2,3,3,1,6,6,1,1,5,5,0,4,1,1,3,2,3,3,2,2,0,4,1,[1]
27548,0,1,3,1,1,4,4,4,4,4,0,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
11440,1,2,2,2,0,4,4,4,2,2,2,2,1,0,1,0,1,1,0,0,0,0,0,1,[1]
29932,0,1,3,1,1,4,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
19532,1,2,2,1,1,5,5,4,2,2,2,3,2,0,2,1,2,1,0,0,0,0,0,1,[1]
38061,2,2,2,3,1,4,0,7,5,1,2,5,4,1,3,3,1,2,0,3,2,1,0,1,[1]
41355,2,1,4,0,1,3,4,2,7,3,4,3,3,0,1,2,1,3,2,3,2,3,3,1,[1]
33532,3,1,0,0,0,4,10,5,10,1,6,5,0,1,0,0,3,3,1,1,1,3,2,1,[1]
43521,1,1,0,3,1,0,4,1,2,0,6,3,3,1,0,2,1,3,2,3,0,1,1,1,[1]
44504,1,1,6,0,0,10,5,7,7,3,4,5,0,1,4,4,0,1,2,2,2,3,0,1,[1]
6750,0,2,3,1,1,4,4,4,4,5,4,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
41284,2,2,3,0,2,9,3,2,3,4,2,0,0,1,3,4,1,4,0,2,2,1,0,1,[1]
42322,1,1,2,2,1,0,4,10,4,4,0,4,1,2,3,2,3,2,3,3,0,2,4,1,[1]
44703,4,1,2,1,1,4,10,2,2,3,6,4,2,0,3,2,2,4,1,3,2,1,2,1,[1]
33713,1,2,3,2,2,4,5,9,4,4,2,1,4,2,0,1,1,4,3,2,2,3,2,1,[1]
