,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,act,pred
2770,0,2,2,2,0,4,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
48300,1,1,5,3,0,9,10,4,2,4,4,1,0,2,0,2,2,1,1,1,2,0,0,0,[1]
32364,4,1,4,2,0,8,0,6,4,10,0,3,2,2,3,2,1,1,1,0,2,3,3,0,[1]
1813,1,2,2,2,0,4,4,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
44089,3,2,6,3,2,4,10,8,2,8,5,5,4,1,5,3,1,1,2,1,0,3,4,0,[1]
13389,1,2,3,1,0,1,4,4,1,1,4,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
48441,3,2,4,3,2,0,7,9,7,1,3,5,4,2,1,2,2,2,3,1,1,2,1,0,[1]
37211,3,1,1,3,0,7,6,6,1,5,5,5,2,1,5,4,1,1,0,3,0,3,1,0,[1]
38141,1,1,2,2,1,0,1,7,1,8,3,5,2,2,2,1,2,3,1,2,1,3,4,0,[1]
34313,2,1,5,2,0,9,8,3,8,2,10,5,3,1,4,2,0,1,2,3,2,2,0,0,[1]
49112,0,2,0,1,1,5,7,5,0,6,10,1,0,2,0,2,0,4,1,1,2,1,2,0,[1]
50542,1,1,4,3,0,6,8,4,8,10,5,5,1,2,0,2,1,3,3,0,1,0,4,0,[1]
14296,1,2,2,1,0,2,2,2,2,1,2,2,1,0,1,1,1,1,0,0,1,0,0,0,[1]
13338,1,2,2,2,0,3,4,2,2,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
15088,0,1,2,1,0,5,4,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
46512,4,1,4,0,0,10,7,0,5,7,2,3,2,0,5,1,0,2,3,0,0,2,0,0,[1]
32406,4,1,2,3,0,5,7,2,2,6,7,2,1,1,3,2,2,4,0,1,0,3,2,0,[1]
48644,3,1,3,2,0,1,8,8,4,2,9,4,3,1,5,1,3,1,3,2,1,0,3,0,[1]
20138,2,2,3,2,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
36808,2,2,2,3,1,0,9,7,0,5,8,5,0,0,0,0,2,4,0,3,1,1,2,0,[1]
30884,1,1,5,1,2,0,2,3,2,7,5,4,0,1,5,2,1,3,2,2,2,2,2,0,[1]
43428,2,1,1,0,0,9,2,10,8,3,1,0,0,2,1,4,2,1,1,0,1,2,1,0,[1]
41583,0,2,1,0,0,10,9,6,5,4,0,0,4,2,3,3,0,2,2,3,2,2,4,0,[1]
38391,0,1,6,0,0,4,4,8,10,10,7,3,0,2,2,1,0,1,1,2,2,1,0,0,[1]
54184,3,1,2,1,2,7,3,3,3,8,3,2,4,2,3,3,2,1,2,0,0,1,4,0,[1]
40333,2,1,3,0,2,0,3,9,9,5,6,4,2,2,2,2,2,3,0,2,0,2,4,0,[1]
13765,0,2,1,2,0,3,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,[1]
36840,1,1,2,1,0,4,5,7,3,1,10,0,2,0,3,1,0,2,3,3,0,1,3,0,[1]
44498,0,2,6,0,1,4,8,2,1,6,10,0,1,2,3,4,1,1,2,3,1,3,4,0,[1]
41122,0,1,3,3,0,9,4,6,2,10,6,5,1,1,2,3,1,4,3,1,2,2,3,0,[1]
33931,4,1,0,3,0,1,9,10,8,2,1,3,1,0,1,2,2,4,2,2,0,2,1,0,[1]
54449,0,2,3,1,1,4,5,10,7,7,8,1,3,2,5,4,0,4,3,2,0,2,0,0,[1]
49683,0,2,6,1,0,7,5,8,1,3,5,4,0,1,1,1,0,4,0,1,2,1,0,0,[1]
29275,0,1,2,1,0,4,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
41205,4,2,6,0,2,10,8,4,7,5,1,2,3,1,5,1,0,2,3,1,2,2,3,0,[1]
32668,3,1,3,2,1,7,10,10,2,9,4,1,1,0,5,4,0,2,3,2,2,0,3,0,[1]
17278,0,2,2,1,0,4,4,4,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
26516,1,2,2,1,2,3,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
43317,2,2,3,2,1,2,2,10,4,2,3,3,3,0,0,2,2,2,2,3,0,3,3,0,[1]
33845,4,2,5,3,0,7,6,7,2,10,8,2,0,0,0,4,3,2,1,1,0,1,1,0,[1]
31963,2,1,6,1,2,3,6,4,8,3,7,4,4,1,1,3,0,4,3,2,0,0,3,0,[1]
52201,1,1,4,2,2,7,3,4,1,10,8,5,3,1,0,0,0,4,3,2,0,2,4,0,[1]
39060,0,2,4,0,1,10,6,2,10,1,9,3,1,2,1,0,2,1,0,1,1,0,3,0,[1]
37357,4,1,1,3,1,0,3,6,8,7,7,0,3,0,5,3,0,3,2,0,2,3,0,0,[1]
37680,1,1,0,1,1,5,2,5,10,1,2,0,0,0,3,1,3,2,2,3,0,1,3,0,[1]
21026,0,1,2,1,1,2,2,2,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
47348,2,1,2,3,2,6,5,0,8,1,3,3,3,2,1,4,1,3,3,3,2,1,3,0,[1]
44271,0,2,3,0,1,9,1,3,10,3,0,3,0,2,1,2,1,1,0,1,1,1,2,0,[1]
31768,3,1,4,2,2,9,0,3,2,4,0,4,0,1,3,2,0,2,2,1,0,1,2,0,[1]
49480,2,1,3,2,0,1,3,10,6,10,2,2,0,2,3,3,2,2,1,2,1,1,4,0,[1]
47894,1,2,0,2,1,0,6,2,6,6,8,1,4,2,2,3,0,4,3,1,2,2,2,0,[1]
35487,4,2,2,3,1,6,6,9,1,3,0,0,3,1,0,4,0,1,3,2,0,3,2,0,[1]
1521,0,1,2,2,1,5,5,7,6,5,4,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
35862,1,2,4,3,0,9,1,2,6,4,3,2,3,0,0,1,1,2,0,2,2,3,3,0,[1]
49494,0,2,4,3,2,5,8,5,2,1,10,2,2,0,0,4,0,4,0,3,2,1,4,0,[1]
18864,0,2,2,1,0,4,2,2,2,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
15459,1,1,1,2,0,1,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,[1]
49036,1,2,1,0,1,8,8,5,7,5,2,3,1,2,1,1,2,2,3,0,2,3,2,0,[1]
36255,3,1,4,1,1,1,0,10,1,9,5,1,3,0,1,1,2,3,0,0,1,2,2,0,[1]
29695,1,1,2,1,1,2,2,4,4,2,2,2,1,0,2,0,1,1,0,0,0,0,0,0,[1]
5845,0,2,2,1,1,6,6,7,6,5,4,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
47557,4,2,2,3,1,1,4,5,8,0,2,3,3,1,3,2,2,4,0,3,2,3,0,0,[1]
35500,0,1,3,1,2,7,7,10,6,7,10,5,4,2,5,1,2,2,0,1,2,2,0,0,[1]
41195,2,1,4,0,0,3,4,0,0,0,9,2,2,0,1,3,3,3,1,1,2,0,2,0,[1]
11591,1,1,1,1,1,4,1,1,1,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
40173,1,1,1,3,0,8,6,6,4,4,5,3,1,0,3,3,1,3,0,0,2,1,3,0,[1]
51190,1,2,4,3,2,4,8,7,9,3,0,3,2,2,2,4,1,4,0,2,1,1,2,0,[1]
31655,0,2,6,0,0,8,7,5,5,9,4,5,4,0,1,2,2,1,1,3,2,2,4,0,[1]
31227,3,1,0,1,2,10,1,5,0,6,3,1,3,2,4,3,0,1,3,3,1,1,1,0,[1]
40540,3,2,2,2,0,6,3,3,2,0,0,4,4,2,0,4,1,3,3,0,0,1,3,0,[1]
