execution time
50000 5.630218029022217 27.12172269821167
55000 6.855295181274414 31.24047827720642
60000 8.579260110855103 39.56960415840149
65000 10.289466857910156 44.41951894760132
70000 12.325471878051758 49.86701512336731
75000 14.561628818511963 54.690582036972046
80000 16.45451283454895 57.699506998062134
85000 18.437964916229248 61.58483290672302
90000 21.353634119033813 62.981889724731445
95000 24.65757393836975 66.39884781837463
100000 26.192291021347046 68.64438509941101


number of calculations
50000 12532.0 78335.0
55000 13700.0 78335.0
60000 14781.0 78335.0
65000 15415.0 78335.0
70000 16614.0 78335.0
75000 18011.0 78335.0
80000 19201.0 78335.0
85000 20381.0 78335.0
90000 22341.0 78335.0
95000 25139.0 78335.0
100000 25828.0 78335.0
