execution time
6000 0.6283581256866455 5.853319883346558
8000 1.163224220275879 11.392627954483032
10000 3.617601156234741 18.574829816818237
12000 4.807854175567627 24.885512113571167
14000 7.542462110519409 30.403673887252808
16000 10.07401990890503 35.33645224571228
18000 12.79270339012146 40.08141469955444
20000 16.512589693069458 44.62982511520386


number of calculations
6000 8685.0 118799.0
8000 11359.0 118799.0
10000 16116.0 118799.0
12000 20961.0 118799.0
14000 26942.0 118799.0
16000 31477.0 118799.0
18000 35503.0 118799.0
20000 40346.0 118799.0
