execution time
30000 2.9365570545196533 31.553947925567627
35000 9.12406301498413 114.13952422142029
40000 15.929435968399048 186.87263178825378
45000 21.617866039276123 243.29835176467896
50000 33.38109302520752 299.4168817996979
55000 39.60737371444702 364.4481861591339
60000 58.997150897979736 422.26544523239136


number of calculations
30000 26254.0 414719.0
35000 29404.0 414719.0
40000 31147.0 414719.0
45000 33835.0 414719.0
50000 41152.0 414719.0
55000 41640.0 414719.0
60000 54089.0 414719.0
