execution time
8000 0.3883202075958252 0.913703203201294
9000 0.42783188819885254 1.0691618919372559
10000 0.49193716049194336 1.2807180881500244
11000 0.511605978012085 1.4228298664093018
12000 0.5695538520812988 1.5985610485076904
13000 0.6023762226104736 1.753222942352295
14000 0.707226037979126 2.0864322185516357
15000 0.7385702133178711 2.0479207038879395
16000 0.7385170459747314 2.106898069381714
17000 0.7557082176208496 2.3997068405151367
18000 0.8147590160369873 2.675601005554199


number of patterns
8000 2408 2424
9000 2350 2360
10000 2615 2644
11000 2539 2562
12000 2542 2570
13000 2500 2527
14000 2405 2427
15000 2223 2237
16000 2238 2252
17000 2456 2475
18000 2479 2496
