execution time
1500 0.24155497550964355 0.8350930213928223
2000 0.25760531425476074 0.9549100399017334
2500 0.3080570697784424 1.039402961730957
3000 0.31499314308166504 1.1521730422973633
3500 0.3943002223968506 1.3742642402648926
4000 0.4877781867980957 1.7672321796417236
4500 0.42525601387023926 1.6785480976104736
5000 0.4864671230316162 2.190732002258301


number of patterns
1500 3071 3147
2000 3273 3283
2500 3159 3168
3000 3311 3316
3500 3744 3762
4000 3600 3611
4500 3174 3180
5000 3507 3517


patterns in result
data size = 0
