execution time
500 2.384589195251465 4.691247940063477
600 0.8492453098297119 2.6024229526519775
700 1.552912950515747 3.1371641159057617
800 0.9042878150939941 2.5112051963806152
900 0.8543796539306641 2.4820680618286133
1000 0.8886971473693848 2.3644111156463623
1100 1.3252201080322266 3.241590976715088
1200 1.8563659191131592 3.940896987915039


number of patterns
500 16552 21109
600 6351 7185
700 10405 12248
800 7275 7562
900 6695 7016
1000 7033 7088
1100 7084 7278
1200 9772 10251


patterns in result
data size = 0
