execution time
400 32.969318151474 149.0144829750061
500 1.5305829048156738 3.6221249103546143
600 1.5185320377349854 3.6058719158172607
700 1.3985753059387207 3.4594008922576904
800 1.0930869579315186 2.953684091567993
900 1.1623928546905518 3.1319942474365234
1000 1.2136688232421875 3.2982399463653564
1100 1.2274079322814941 3.3379199504852295
1200 1.3131687641143799 3.462311029434204


number of patterns
400 703514 2956880
500 18605 41917
600 16193 33233
700 14248 26730
800 10377 19815
900 10662 19697
1000 10619 19343
1100 10659 19235
1200 10733 19235
