execution time
500 1.8811440467834473 3.3336050510406494
600 0.6046006679534912 1.8476109504699707
700 1.2253692150115967 2.8759560585021973
800 0.7770509719848633 2.171219825744629
900 0.757533073425293 2.1425209045410156
1000 0.7762010097503662 2.2062811851501465
1100 0.862788200378418 2.4037580490112305
1200 1.2316110134124756 3.035423994064331


number of patterns
500 16552 21109
600 6351 7185
700 10405 12248
800 7275 7562
900 6695 7016
1000 7033 7088
1100 7084 7278
1200 9772 10251


patterns in result
data size = 0
